IUCN,Generations,median_Ne,lq_Ne,uq_Ne
EN,2530.5375038291586,22767.598682306976,9557.531309330963,88153.78616031924
EN,2673.0804972697642,23345.989204066842,9765.461918212248,88153.78616031924
EN,2823.6528144995923,24363.025887630152,9960.436098329672,88153.78616031924
EN,2982.706740397441,25437.351369756878,10030.265075118774,88153.78616031924
EN,3150.7200366589586,27406.05195426968,10186.848223545287,88153.78616031924
EN,3328.197376883745,29499.36982745042,10764.71017048809,88153.78616031924
EN,3515.671862499668,31710.602489648998,11322.613274979518,88153.78616031924
EN,3713.706624077915,34046.39197915666,11738.696918232135,88153.78616031924
EN,3922.896512848684,36458.68049170218,12167.575262847646,86672.93270720413
EN,4143.869887498541,34682.53283543069,12496.842732566893,79306.47795947532
EN,4377.290501616543,33083.931846716754,12805.346658064962,71525.07717391942
EN,4623.859497458498,31405.608087413195,13131.228343411332,70078.49311741118
EN,4884.317512018323,29632.74579933793,13588.81122122044,72231.13590126458
EN,5159.446901732548,27760.01970876307,14209.403044634282,74546.98144086712
EN,5450.074092500496,24183.478182342522,14337.958320988106,76993.27656086956
EN,5757.072062079125,26457.78414095431,14775.880202736229,76642.65128156276
EN,6081.362962308935,30826.283509001012,16198.90054758938,80920.51067695247
EN,6423.920889047669,34096.166100174814,16386.8083901533,84003.37755811226
EN,6785.774808132018,33459.95529795022,17627.621501760237,80866.70994686824
EN,7168.011646156097,32787.907290360716,18402.892081293016,89807.35033867325
EN,7571.779555350939,32078.003398559802,19071.97441873991,89666.2153796413
EN,7998.291362371754,33280.5671508018,19904.282024736738,87068.76889797165
EN,8448.82821135242,34452.815801993165,21078.81273322149,87885.97138866094
EN,8924.743412170143,35691.09620791838,22311.53057846723,88498.41290548525
EN,9427.466505479399,36757.690338569926,22229.20171349547,82326.91898003418
EN,9958.50755672587,36995.77833116043,21914.29383344025,82414.72140172849
EN,10519.461692038481,35427.11025515241,21869.424766127246,85382.90531172266
EN,11112.013889624168,35397.18565698309,21711.072006605544,88384.64463180948
EN,11737.944041057948,36771.36119717889,21124.13564698897,90885.43279322039
EN,12399.132297671,36455.19133875625,19692.45317733878,93527.08819329063
EN,13097.564718096202,35023.39883764608,16443.97523225704,96317.54576198902
EN,13835.339233934994,35922.153076390256,15549.909361488892,92734.43437594433
EN,14614.67195146524,37091.92854212524,16948.965724589812,83852.11960009956
EN,15437.903808318573,35899.69143119451,18445.424325859392,68589.89879898347
EN,16307.507605123023,36140.314002760846,19718.62743246324,70518.1479778107
EN,17226.095433231596,36491.43456988353,19870.223616069008,70082.63988581105
EN,18196.426520848698,36479.47507596896,20244.171544407545,72979.60462618586
EN,19221.41552112196,35318.098793334546,19585.56541368607,75936.98728461133
EN,20304.14126709512,35643.56567122703,18387.56420780602,77349.21905326888
EN,21447.85601981985,35447.0308397958,18613.48242032037,79175.59699186313
EN,22655.99523740589,34629.926780084956,19544.815325357646,81104.8532233605
EN,23932.187894352937,34029.57508422332,19803.705093413402,82464.0065540224
EN,25280.2673821622,35291.165414314295,21189.89080460649,80645.31072432062
EN,26704.283023969358,37182.856733107765,21715.69414763403,80209.28275060613
EN,28208.51223778732,36853.49458865868,21409.49464853004,81521.40189633818
EN,29797.47338489375,36248.92432723893,21060.28963211174,82309.55411310494
EN,31475.939341957215,36896.51440313349,21374.617212234883,82193.99604608041
EN,33248.95183766941,38806.22391461426,22469.528265795634,82071.92869288052
EN,35121.836596947796,40060.515417399045,22741.807852633305,81768.90752502713
EN,37100.21933819748,42330.81499912702,22522.566786349744,81207.20849577902
EN,39190.04267168593,45795.85593228395,22369.810125983913,80831.20481621448
EN,41397.583949787615,49154.11187703197,22327.995666727064,83183.48195267755
EN,43729.47412271824,52347.95420349772,22555.319844652353,86479.17399498263
EN,46192.71765639585,54134.68244536204,22892.38471034046,88095.32821226526
EN,48794.713572258006,55153.87965453837,23573.49428500216,88779.7965741145
EN,51543.27767223361,55621.72292001626,24464.072953336035,89456.85483207554
EN,54446.666015628194,56012.19576165403,27479.36985145274,88111.25201700762
EN,57513.599718442274,56081.16382109341,28421.442125829315,88022.23279364251
EN,60753.29114961297,57458.28263506189,29169.32283389517,92883.54327889849
EN,64175.47160286867,56122.84425628111,29737.969518955346,94722.00358286488
EN,67790.42052731394,54997.33600669823,30674.33753131196,93778.62192645442
EN,71608.99640454912,53808.42884886172,31346.86745114064,91733.19395890426
EN,75642.66936507098,52999.26569643876,32011.405223829897,94073.6471729725
EN,79903.5556419271,54936.65416741562,32520.127108117682,96545.93609650414
EN,84404.45396511474,54201.97728829714,34079.731015761725,98182.68125993141
EN,89158.88400604555,55175.646659089325,35587.79217919766,98361.1572178685
EN,94181.12698755217,58280.85541939686,37413.964866705806,98394.12006579156
EN,99486.26858142363,60249.067599635535,40802.53787149853,98183.32848598782
EN,105090.24422231964,62788.954518213366,43158.57490143065,97720.11319342224
EN,111009.88697418036,62285.995571267864,45836.45486389978,102696.9055758161
EN,117262.97809290876,64704.2797671953,46354.30886630318,103820.44665224491
EN,123868.3004372055,64640.32817284628,51086.59431724338,104909.05177178785
EN,130845.69488798986,65039.955266294026,51931.95515150171,105337.80083316859
EN,138216.11994587895,68458.8597543457,51619.560051522305,108950.91094239068
EN,146001.71468573905,71082.0639522184,53119.564184736126,111299.20173260247
