"","ID","species","vgp_group","Accession","Secondary_Accession","IUCN","Combined_captivity_flag_primary","Combined_captivity_flag_alternate"
"38","bAcrTri","Acridotheres_tristis","birds","GCA_027559615.1","GCA_037013685.1","LC","no","no"
"39","bRhyJub","Rhynochetos_jubatus","birds","GCA_027574665.1","GCA_027595965.1","EN","yes","yes"
"40","aGasCar","Gastrophryne_carolinensis","amphibians","GCA_027917425.1","GCA_027917415.1","LC","no",NA
"41","fOdoBon","Odontesthes_bonariensis","fishes","GCA_027942865.1","GCA_027942885.1","DD/NE","no",NA
"42","bPodStr","Podargus_strigoides","birds","GCA_028020825.1","GCA_028020675.1","LC","no","no"
"43","fLycPac","Lycodopsis_pacificus","fishes","GCA_028022725.1","GCA_028021495.1","DD/NE","no",NA
"44","bGypBar","Gypaetus_barbatus","birds","GCA_028022735.1","GCA_028017155.1",NA,NA,NA
"45","mEreDor","Erethizon_dorsatum","mammals","GCA_028451465.1","GCA_028500835.1","LC","no","no"
"46","mHetBru","Heterohyrax_brucei","mammals","GCA_028571685.1","GCA_028571665.1","LC","yes","yes"
"47","bAraAra","Ara_ararauna","birds","GCA_028858755.1","GCA_028858555.1","LC","likely",NA
"48","rAnnSte","Anniella_stebbinsi","reptiles","GCA_029215775.1","GCA_029215795.1","LC","no",NA
"49","rGavGan","Gavialis_gangeticus","reptiles","GCA_030020295.1","GCA_030020385.1","CR","yes",NA
"50","mDugDug","Dugong_dugon","mammals","GCA_030035585.1","GCA_030020955.1","VU","no",NA
"51","rCycPin","Cyclura_pinguis","reptiles","GCA_030412105.1","GCA_030412085.1","CR","yes",NA
"52","bPelCri","Pelecanus_crispus","birds","GCA_030463565.1","GCA_030449815.1","NT","yes","yes"
"53","mTadBra","Tadarida_brasiliensis","mammals","GCA_030848825.1","GCA_030848815.1","LC","no","no"
"54","rLiaOli","Liasis_olivaceus","reptiles","GCA_030867105.1","GCA_030867085.1","LC","yes",NA
"55","bOpiHoa","Opisthocomus_hoazin","birds","GCA_030867145.1","GCA_030867165.1","LC","no",NA
"56","fLatMac","Lateolabrax_maculatus","fishes","GCA_031216445.1","GCA_004028665.1","DD/NE","yes","unknown"
"57","bMorBas","Morus_bassanus","birds","GCA_031468815.1","GCA_031468805.1","LC","yes",NA
"58","mHipLar","Hipposideros_larvatus","mammals","GCA_031876335.1","GCA_043727955.1","LC","no","no"
"59","bStrAlu","Strix_aluco","birds","GCA_031877795.1","GCA_031877785.1","LC","no",NA
"60","mThoBot","Thomomys_bottae","mammals","GCA_031878675.1","GCA_031878665.1","LC","no","no"
"61","mTapInd","Tapirus_indicus","mammals","GCA_031878705.1","GCA_031878655.1","EN","yes",NA
"62","bPasSan","Passerculus_sandwichensis","birds","GCA_031885435.1","GCA_031876245.1","LC","no","no"
"63","aLepFus","Leptodactylus_fuscus","amphibians","GCA_031893055.1","GCA_031893025.1","LC","no",NA
"64","rSteOdo","Sternotherus_odoratus","reptiles","GCA_032164245.1","GCA_032164215.1","LC","no","no"
"65","rMacSuw","Macrochelys_suwanniensis","reptiles","GCA_033349115.1","GCA_033296515.1","VU","no",NA
"66","rCarIns","Carettochelys_insculpta","reptiles","GCA_033958435.1","GCA_007922185.1",NA,NA,NA
"67","bLepDis","Leptosomus_discolor","birds","GCA_034619465.1","GCA_034619455.1","LC","likely",NA
"68","rTilSci","Tiliqua_scincoides","reptiles","GCA_035046505.1","GCA_035046495.1","LC","no",NA
"69","sHydCol","Hydrolagus_colliei","sharks","GCA_035084275.1","GCA_035084065.1","LC","no",NA
"70","bAmmMar","Ammospiza_maritima","birds","GCA_036010785.1","GCA_036010685.1","LC","no","no"
"71","aPelIbe","Pelodytes_ibericus","amphibians","GCA_036172795.1","GCA_036172775.1","LC","no",NA
"72","mIniGeo","Inia_geoffrensis","mammals","GCA_036417435.1","GCA_036417475.1","EN","no",NA
"73","bChlMac","Chlamydotis_macqueenii","birds","GCA_036417535.1","GCA_036418225.1","VU","no",NA
"74","mEquCab","Equus_caballus","mammals","GCA_036426135.1","GCA_036418255.1","DD/NE","likely",NA
"75","fSalAlp","Salvelinus_alpinus","fishes","GCA_036784965.1","GCF_045679555.1","LC","no","no"
"76","bMerOct","Mergus_octosetaceus","birds","GCA_036873955.1","GCA_036850655.1","CR","no",NA
"77","bPatFas","Patagioenas_fasciata","birds","GCA_036971685.2","GCF_037038585.1","LC","likely",NA
"78","mMicPen","Microtus_pennsylvanicus","mammals","GCA_037038515.1","GCA_037039175.1","LC","no",NA
"79","mRhyNas","Rhynchonycteris_naso","mammals","GCA_037038545.1","GCA_037038555.1","LC","no",NA
"80","fFunDia","Fundulus_diaphanus","fishes","GCA_037039145.1","GCA_037038625.1","LC","no",NA
"81","mMolAlv","Molossus_alvarezi","mammals","GCA_037157525.1","GCA_037176705.1","DD/NE","no",NA
"82","aRhiDor","Rhinophrynus_dorsalis","amphibians","GCA_037306005.1","GCA_037306015.1","LC","no",NA
"83","bSarPap","Sarcoramphus_papa","birds","GCA_037962945.1","GCA_037950955.1","LC","no",NA
"84","fCypVen","Cyprinella_venusta","fishes","GCA_038024135.1","GCA_038021265.1","LC","no",NA
"85","aMixFle","Mixophyes_fleayi","amphibians","GCA_038048845.1","GCA_038048865.1","EN","no",NA
"86","fOsmMor","Osmerus_mordax","fishes","GCA_038355195.1","GCA_038355625.1","LC","no","no"
"87","mArtLit","Artibeus_lituratus","mammals","GCA_038363095.2","GCA_038363175.2","LC","no",NA
"88","mArtInt","Artibeus_intermedius","mammals","GCA_038363145.1","GCA_038363225.1","LC","no",NA
"89","aXenPet","Xenopus_petersii","amphibians","GCA_038501925.1","GCA_038501915.1","LC","likely",NA
"90","mGloMut","Glossophaga_mutica","mammals","GCA_039655065.1","GCA_039656995.1","LC","no",NA
"91","bAmaOch","Amazona_ochrocephala","birds","GCA_039720435.1","GCA_039720425.1","LC","no",NA
"92","bExcChi","Excalfactoria_chinensis","birds","GCA_039878825.1","GCA_039878515.1","LC","yes","yes"
"93","mMolNig","Molossus_nigricans","mammals","GCA_039880945.1","GCA_039880925.1","DD/NE","no",NA
"94","bAegAlb","Aegotheles_albertisi","birds","GCA_039906565.1","GCA_039906465.1","LC","no",NA
"95","aAscTru","Ascaphus_truei","amphibians","GCA_040206685.1","GCA_040206675.1","LC","no",NA
"96","mOviAri","Ovis_aries","mammals","GCA_040805955.1","GCA_033439445.1","DD/NE","yes",NA
"97","fProAnn","Protopterus_annectens","fishes","GCA_040939525.1","GCF_019279795.1","LC","yes","yes"
"98","mLycPic","Lycaon_pictus","mammals","GCA_040955705.1","GCA_040955645.1","EN","likely",NA
"99","mCapHir","Capra_hircus","mammals","GCA_041735815.1","GCA_040970035.1","DD/NE","yes",NA
"100","mMegNov","Megaptera_novaeangliae","mammals","GCA_041834305.1","GCA_004329385.1","LC","no",NA
"101","fEleEle","Electrophorus_electricus","fishes","GCA_041902795.1","GCA_013358815.1","LC","no likely","yes"
"102","fEpiLan","Epinephelus_lanceolatus","fishes","GCA_041903045.1","GCA_017165655.1","DD/NE","yes",NA
"103","fArrGeo","Arripis_georgiana","fishes","GCA_042242135.1","GCA_042242115.1","DD/NE","no",NA
"104","fSebFas","Sebastes_fasciatus","fishes","GCA_043250625.1","GCA_047301235.1","EN","no","no"
"105","mRhyPet","Rhynchocyon_petersi","mammals","GCA_043290085.1","GCA_043290065.1","LC","likely",NA
"106","mAseSto","Aselliscus_stoliczkanus","mammals","GCA_043727835.1","GCA_033961575.1","LC","no","no"
"107","mRhiAff","Rhinolophus_affinis","mammals","GCA_043728065.1","GCA_043727925.1","LC","no","no"
"108","mRhiTri","Rhinolophus_trifoliatus","mammals","GCA_043728145.1","GCA_043728055.1","NT","no","no"
"109","mRhiPer","Rhinolophus_perniger","mammals","GCA_043748575.1","GCA_043748905.1","DD/NE","no","no"
"110","mMopCon","Mops_condylurus","mammals","GCA_043748645.1","GCA_043748605.1","LC","no","no"
"111","mDorCyc","Doryrhina_cyclops","mammals","GCA_043880285.1","GCA_043880225.1","LC","no","no"
"112","mRhiYon","Rhinolophus_yonghoiseni","mammals","GCA_043880425.1","GCA_043880365.1","DD/NE","no","no"
"113","mRhiMic","Rhinopoma_microphyllum","mammals","GCA_043880545.1","GCA_043880455.1","LC","no","no"
"114","mMegSpa","Megaderma_spasma","mammals","GCA_043880595.1","GCA_043880535.1",NA,NA,NA
"115","fNeoOce","Neosynchiropus_ocellatus","fishes","GCA_044231665.1","GCA_044231645.1","LC","yes",NA
"116","fSynPic","Synchiropus_picturatus","fishes","GCA_044231675.1","GCA_044231685.1","LC","yes",NA
"117","bGuaGua","Guaruba_guarouba","birds","GCA_045345405.1","GCA_045519325.1","VU","no likely","no likely"
"118","bMorGui","Morphnus_guianensis","birds","GCA_045345515.1","GCA_045345505.1","NT","no",NA
"119","fLetNeb","Lethrinus_nebulosus","fishes","GCA_045362495.1","GCA_045362485.1","LC","likely",NA
"120","fPriTyp","Pristipomoides_typus","fishes","GCA_045363895.1","GCA_045363885.1","LC","no",NA
"121","bWilVid","Willisornis_vidua","birds","GCA_045364795.1","GCA_045364805.1","LC","no",NA
"122","rPodExp","Podocnemis_expansa","reptiles","GCA_045364815.1","GCA_045364785.1","EN","no",NA
"123","rPanTec","Pangshura_tecta","reptiles","GCA_045781085.1","GCA_045781095.1","VU","likely",NA
"124","mUroPar","Urocitellus_parryii","mammals","GCA_045843805.1","GCA_045843765.1","LC","no",NA
"125","rDibSmi","Dibamus_smithi","reptiles","GCA_046126795.1","GCA_046126825.1","DD/NE","likely",NA
"126","bCyaCri","Cyanocitta_cristata","birds","GCA_046129655.1","GCA_046129645.1","LC","no",NA
"127","bLonStr","Lonchura_striata","birds","GCA_046129695.1","GCA_046129705.1","LC","yes","yes"
"128","fAmbSpe","Amblyopsis_spelaea","fishes","GCA_046255685.1","GCA_046255725.1","NT","no",NA
"129","mPanOnc","Panthera_onca","mammals","GCA_046562885.1","GCA_046562875.1","NT","no",NA
"130","mTriInu","Trichechus_inunguis","mammals","GCA_046562895.1","GCA_046562985.1","VU","no",NA
"131","fPolLow","Polymixia_lowei","fishes","GCA_047511565.1","GCA_047511595.1","LC","likely",NA
"132","mCasCan","Castor_canadensis","mammals","GCA_047511655.1","GCA_047511605.1","LC","no",NA
"133","rBraPum","Bradypodion_pumilum","reptiles","GCA_047715975.1","GCA_047715955.1","NT","no",NA
"134","bZonAlb","Zonotrichia_albicollis","birds","GCA_047830755.1","GCA_047774235.1","LC","no",NA
"135","bEudEle","Eudromia_elegans","birds","GCA_047922985.1","GCA_047922975.1","LC","yes",NA
"136","fSpiSpi","Spinachia_spinachia","fishes","GCA_048126635.1","GCA_048127205.1","LC","yes",NA
"137","mDamDam","Dama_dama","mammals","GCA_048126745.1","GCA_048127045.1","LC","no",NA
"138","fSymNem","Symphorus_nematophorus","fishes","GCA_048128725.1","GCA_048128715.1","LC","likely",NA
"139","fCenGer","Centroberyx_gerrardi","fishes","GCA_048128805.1","GCA_048129085.1","DD/NE","no",NA
"140","fCaeTer","Caesio_teres","fishes","GCA_048129055.1","GCA_048129025.1","LC","no",NA
"141","fEpiRan","Epinephelus_rankini","fishes","GCA_048129235.1","GCA_048129065.1","LC","no",NA
"142","fSynTyp","Syngnathus_typhle","fishes","GCA_048301445.1","GCA_048301605.1","LC","likely",NA
"143","fAulMac","Aulostomus_maculatus","fishes","GCA_048301465.1","GCA_048301475.1","LC","no",NA
"144","mSusScr","Sus_scrofa","mammals","GCA_048338725.1","GCA_963921485.1","LC","yes",NA
"145","fPolHol","Polymixia_hollisterae","fishes","GCA_048537225.1","GCA_048537235.1","DD/NE","no likely","no likely"
"146","fCoiMys","Coilia_mystus","fishes","GCA_048544225.1","GCA_048544215.1","EN","no",NA
"147","aManAur","Mantella_aurantiaca","amphibians","GCA_048565345.1","GCA_048565335.1","EN","no",NA
"148","mSaiBol","Saimiri_boliviensis","mammals","GCA_048565385.1","GCA_048565415.1","LC","likely","likely"
"149","fDirArg","Diretmus_argenteus","fishes","GCA_048569125.1","GCA_048569135.1","LC","no",NA
"150","aAnoBae","Anomaloglossus_baeobatrachus","amphibians","GCA_048569485.1","GCA_048569465.1","LC","no",NA
"151","mSarHar","Sarcophilus_harrisii","mammals","GCA_048593225.1","GCA_048593325.1","EN","likely",NA
"152","mSmiCra","Sminthopsis_crassicaudata","mammals","GCA_048593235.1","GCA_048593295.1","LC","no",NA
"153","mDasMac","Dasyurus_maculatus","mammals","GCA_048593285.1","GCA_048593245.1","NT","likely",NA
"154","fMenMen","Menidia_menidia","fishes","GCA_048628825.1","GCA_048544195.1","LC","no",NA
"155","mCteGun","Ctenodactylus_gundi","mammals","GCA_048771875.1","GCA_048771865.1","LC","no",NA
"156","bTaeGut","Taeniopygia_guttata","birds","GCA_048771995.1","GCA_048772025.1","LC","yes","yes"
"157","mCalLat","Callospermophilus_lateralis","mammals","GCA_048772815.1","GCA_048772825.1","LC","no",NA
"158","fCriAus","Cristiceps_australis","fishes","GCA_049082185.1","GCA_049082045.1","LC","no",NA
"159","fLepSal","Lepidogalaxias_salamandroides","fishes","GCA_049190665.1","GCA_049190655.1","EN","no",NA
"160","mCalJac","Callithrix_jacchus","mammals","GCA_049354715.1","GCA_011078405.1","LC","likely",NA
"161","fSalTru","Salmo_trutta","fishes","GCA_901001165.2","GCA_931346615.1","LC","no likely",NA
"162","bStrTur","Streptopelia_turtur","birds","GCA_901699155.2","GCA_901699165.2","VU","no","no"
"163","aMicUni","Microcaecilia_unicolor","amphibians","GCA_901765095.2","GCA_901765105.1","LC","no","no"
"164","mSciVul","Sciurus_vulgaris","mammals","GCA_902686455.2","GCA_902685485.1","LC","no","no"
"165","bEriRub","Erithacus_rubecula","birds","GCA_903797595.2","GCA_903797565.2","LC","no","no"
"166","mPipPip","Pipistrellus_pipistrellus","mammals","GCA_903992545.1","GCA_965203405.1","LC","no","no"
"167","fTraTra","Trachurus_trachurus","fishes","GCA_905171665.2","GCA_905171655.2","VU","no","no"
"168","bCapEur","Caprimulgus_europaeus","birds","GCA_907165065.1","GCA_907165095.1","LC","no","no"
"169","fTauBub","Taurulus_bubalis","fishes","GCA_910589615.1","GCA_910589325.1","LC","no","no"
"170","fPhoGun","Pholis_gunnellus","fishes","GCA_910591455.2","GCA_910591705.2","LC","no","no"
"171","kAplTur","Aplidium_turbinatum","chordates","GCA_918807975.1","GCA_918843895.1","DD/NE","no","no"
"172","fTelBon","Telmatherina_bonti","fishes","GCA_933228915.1","GCA_933228925.1","EN","yes","yes"
"173","fDanRer","Danio_rerio","fishes","GCA_944039275.1","GCA_903684855.2","LC","yes","yes"
"174","fSilAri","Silurus_aristotelis","fishes","GCA_946808225.1","GCA_946807865.1","EN","likely","likely"
"175","fBarBar","Barbatula_barbatula","fishes","GCA_947034865.1","GCA_947034905.1","LC","no","no"
"176","rVipUrs","Vipera_ursinii","reptiles","GCA_947247035.1","GCA_947247025.1","VU","yes","yes"
"177","kAscMen","Ascidia_mentula","chordates","GCA_947561715.1","GCA_947561685.1","DD/NE","no","no"
"178","kClaLep","Clavelina_lepadiformis","chordates","GCA_947623445.1","GCA_961645235.1","DD/NE","no","no"
"179","fSymMel","Symphodus_melops","fishes","GCA_947650265.1","GCA_947650305.1","LC","no","no"
"180","fPhoPho","Phoxinus_phoxinus","fishes","GCA_949152265.1","GCA_037504845.1","LC","no","no"
"181","fSquCep","Squalius_cephalus","fishes","GCA_949319135.1","GCA_022829025.1","LC","no","no"
"182","fGobGob","Gobio_gobio","fishes","GCA_949357685.1","GCA_021464655.1","LC","no","no"
"183","fHypImm","Hyperoplus_immaculatus","fishes","GCA_949357725.1","GCA_949358355.1","DD/NE","no","no"
"184","fNotRos","Notothenia_rossii","fishes","GCA_949606895.1","GCA_949606865.1","DD/NE","no","no"
"185","bPhaAri","Phalacrocorax_aristotelis","birds","GCA_949628215.1","GCA_949628205.1","LC","no","no"
"186","fMelGel","Melanostigma_gelatinosum","fishes","GCA_949748355.1","GCA_949748265.1","DD/NE","no","no"
"187","mHypAmp","Hyperoodon_ampullatus","mammals","GCA_949752795.1","GCA_949752845.1","NT","no","no"
"188","fBorAnt","Borostomias_antarcticus","fishes","GCA_949987555.1","GCA_949987545.1","LC","no","no"
"189","mPipPyg","Pipistrellus_pygmaeus","mammals","GCA_949987585.1","GCA_949987765.2","LC","no","no"
"190","fPolPol","Pollachius_pollachius","fishes","GCA_949987615.1","GCA_949987605.1","LC","no","no"
"191","fAmmMar","Ammodytes_marinus","fishes","GCA_949987685.1","GCA_950004245.1","DD/NE","no","no"
"192","fEleAnt","Electrona_antarctica","fishes","GCA_951216825.1","GCA_951214905.1",NA,NA,NA
"193","bTetUro","Tetrao_urogallus","birds","GCA_951394365.1","GCA_951394355.1","LC","no","no"
"194","mSteCoe","Stenella_coeruleoalba","mammals","GCA_951394435.1","GCA_951394445.1","LC","no","no"
"195","mEptNil","Eptesicus_nilssonii","mammals","GCA_951640355.1","GCA_030846915.1","LC","no","no"
"196","fArgSil","Argentina_silus","fishes","GCA_951799395.1","GCA_951799415.1","DD/NE","no","no"
"197","fGobNig","Gobius_niger","fishes","GCA_951799975.1","GCA_951799965.1","LC","no","no"
"198","fRutRut","Rutilus_rutilus","fishes","GCA_951802725.1","GCA_951802655.1","LC","no","no"
"199","rPodCre","Podarcis_cretensis","reptiles","GCA_951804945.1","GCA_951804955.1","LC","no","no"
"200","fZeuFab","Zeus_faber","fishes","GCA_960531495.1","GCA_960530785.1","DD/NE","no","no"
"201","bNesMay","Nesoenas_mayeri","birds","GCA_963082525.1","GCA_963082445.1","VU","likely","likely"
"202","kCorEum","Corella_eumyota","chordates","GCA_963082875.1","GCA_963082865.1",NA,NA,NA
"203","bFalPun","Falco_punctatus","birds","GCA_963210335.1","GCA_963210275.1",NA,NA,NA
"204","bPsiEch","Psittacula_echo","birds","GCA_963264785.1","GCA_963243765.1","VU","no","no"
"205","fGymBra","Gymnoscopelus_braueri","fishes","GCA_963280865.1","GCA_963281105.1","LC","no","no"
"206","fLipPho","Lipophrys_pholis","fishes","GCA_963383615.1","GCA_963383635.1","LC","no","no"
"207","fBleOce","Blennius_ocellaris","fishes","GCA_963422515.1","GCA_963422475.1","LC","no","no"
"208","fGymMic","Gymnoscopelus_microlampas","fishes","GCA_963454915.1","GCA_963454925.1",NA,NA,NA
"209","mPleAur","Plecotus_auritus","mammals","GCA_963455305.1","GCA_963455325.1","LC","no","no"
"210","mMarMar","Martes_martes","mammals","GCA_963455335.1","GCA_040938825.1","LC","no","no"
"211","fMicVar","Microchirus_variegatus","fishes","GCA_963457635.1","GCA_963457655.1","LC","no","no"
"212","fSprSpr","Sprattus_sprattus","fishes","GCA_963457725.1","GCA_963457685.1","LC","no","no"
"213","bFriCoe","Fringilla_coelebs","birds","GCA_963513975.1","GCA_963513985.1","LC","no","no"
"214","sRajBra","Raja_brachyura","sharks","GCA_963514005.1","GCA_963513955.1","NT","no","no"
"215","fCheLab","Chelon_labrosus","fishes","GCA_963514085.1","GCA_963514105.1","NT","no","no"
"216","fEutGur","Eutrigla_gurnardus","fishes","GCA_963514095.1","GCA_963514115.1","DD/NE","no","no"
"217","kTriCli","Trididemnum_clinides","chordates","GCA_963675345.1","GCA_963675475.1","DD/NE","no","no"
"218","fEchVip","Echiichthys_vipera","fishes","GCA_963691815.1","GCA_963691805.1","LC","no","no"
"219","fScoMax","Scophthalmus_maximus","fishes","GCA_963854745.1","GCA_963854755.1","LC","no","no"
"220","fNanAch","Nannobrachium_achirus","fishes","GCA_963921795.1","GCA_963921835.1",NA,NA,NA
"221","fProBol","Protomyctophum_bolini","fishes","GCA_963924005.1","GCA_963923985.1","LC","no","no"
"222","kAscAsp","Ascidiella_aspersa","chordates","GCA_963924565.1","GCA_963924595.1","DD/NE","no","no"
"223","mMicMin","Micromys_minutus","mammals","GCA_963924665.1","GCA_963924645.1",NA,NA,NA
"224","bLarFus","Larus_fuscus","birds","GCA_963932225.1","GCA_963932325.1","LC","no","no"
"225","fRhaSp.","Rhamphochromis_sp.","fishes","GCA_963969265.1","GCA_964273455.2","DD/NE","yes","yes"
"226","fNotCoa","Notolepis_coatsorum","fishes","GCA_963971535.1","GCA_963971485.1","LC","no","no"
"227","fNanAnt","Nansenia_antarctica","fishes","GCA_963989245.1","GCA_963989255.1","DD/NE","no","no"
"228","bClaHye","Clangula_hyemalis","birds","GCA_963989345.1","GCA_963989315.1","VU","no","no"
"229","fAbrBra","Abramis_brama","fishes","GCA_963993115.1","GCA_022829085.1","LC","no","no"
"230","fMicPou","Micromesistius_poutassou","fishes","GCA_964030765.1","GCA_964030755.1","DD/NE","no","no"
"231","bNetRuf","Netta_rufina","birds","GCA_964035555.1","GCA_964035535.1","LC","likely","likely"
"232","bBucCla","Bucephala_clangula","birds","GCA_964059595.1","GCA_964059605.1","LC","no","no"
"233","mMyoMys","Myotis_mystacinus","mammals","GCA_964094495.2","GCA_964195625.1","LC","no","no"
"234","mNeoVis","Neogale_vison","mammals","GCA_964106545.1","GCA_964106205.1","LC","likely",NA
"235","rPodPit","Podarcis_pityusensis","reptiles","GCA_964106645.2","GCA_964106635.2","EN","no",NA
"236","mVulVul","Vulpes_vulpes","mammals","GCA_964106825.2","GCA_964106925.2","LC","no",NA
"237","bGruGru","Grus_grus","birds","GCA_964106855.1","GCA_964059345.1","LC","likely","likely"
"238","bNumArq","Numenius_arquata","birds","GCA_964106895.1","GCA_964059295.1","NT","no",NA
"239","rPodGai","Podarcis_gaigeae","reptiles","GCA_964106915.2","GCA_964106785.1","LC","no",NA
"240","mMinSch","Miniopterus_schreibersii","mammals","GCA_964146895.2","GCA_964145185.2","VU","no",NA
"241","mMesBid","Mesoplodon_bidens","mammals","GCA_964165515.1","GCA_964148845.1","LC","likely",NA
"242","kMyxGlu","Myxine_glutinosa","chordates","GCA_964187855.1","GCF_040869285.1","LC","no","no"
"243","rPodSic","Podarcis_siculus","reptiles","GCA_964188175.1","GCA_964188395.1","LC","no",NA
"244","rPodBoc","Podarcis_bocagei","reptiles","GCA_964188305.1","GCA_964188325.1","LC","no",NA
"245","rPodMur","Podarcis_muralis","reptiles","GCA_964188315.1","GCA_964188365.1","LC","no",NA
"246","bAnaPla","Anas_platyrhynchos","birds","GCA_964188345.1","GCA_964188335.1","LC","no",NA
"247","bButBut","Buteo_buteo","birds","GCA_964188355.1","GCA_964188375.1","LC","no",NA
"248","fProPar","Protomyctophum_parallelum","fishes","GCA_964188405.1","GCA_964188415.1","LC","no",NA
"249","mSpeCit","Spermophilus_citellus","mammals","GCA_964194105.1","GCA_964194095.1","EN","likely","likely"
"250","mTalEur","Talpa_europaea","mammals","GCA_964194135.1","GCA_964194205.1","LC","no",NA
"251","sCetMax","Cetorhinus_maximus","sharks","GCA_964194155.1","GCA_964194165.1",NA,NA,NA
"252","mRhiHip","Rhinolophus_hipposideros","mammals","GCA_964194185.1","GCA_964194215.1","LC","no",NA
"253","rVipBer","Vipera_berus","reptiles","GCA_964194415.1","GCA_964194405.1","LC","no",NA
"254","bCalBor","Calonectris_borealis","birds","GCA_964195595.2","GCA_964196065.2","LC","no",NA
"255","fScaEry","Scardinius_erythrophthalmus","fishes","GCA_964197995.1","GCA_024453875.1","LC","no",NA
"256","kLamFlu","Lampetra_fluviatilis","chordates","GCA_964198595.1","GCA_965212235.1","NT","no","no"
"257","bLarMic","Larus_michahellis","birds","GCA_964199755.1","GCA_964199725.1","LC","no","no"
"258","aTriCri","Triturus_cristatus","amphibians","GCA_964204655.1","GCA_964204665.1","LC","no","no"
"259","kStyCla","Styela_clava","chordates","GCA_964204865.1","GCA_964204955.1","DD/NE","no",NA
