ID,Species_Name,vgp_group,Accession,Secondary_Accession
mMinSch,Miniopterus_schreibersii,mammals,GCA_964146895.2,GCA_964145185.2
mMesBid,Mesoplodon_bidens,mammals,GCA_964165515.1,GCA_964148845.1
kMyxGlu,Myxine_glutinosa,chordates,GCA_964187855.1,GCF_040869285.1
rPodSic,Podarcis_siculus,reptiles,GCA_964188175.1,GCA_964188395.1
rPodBoc,Podarcis_bocagei,reptiles,GCA_964188305.1,GCA_964188325.1
rPodMur,Podarcis_muralis,reptiles,GCA_964188315.1,GCA_964188365.1
bAnaPla,Anas_platyrhynchos,birds,GCA_964188345.1,GCA_964188335.1
bButBut,Buteo_buteo,birds,GCA_964188355.1,GCA_964188375.1
fProPar,Protomyctophum_parallelum,fishes,GCA_964188405.1,GCA_964188415.1
mSpeCit,Spermophilus_citellus,mammals,GCA_964194105.1,GCA_964194095.1
mTalEur,Talpa_europaea,mammals,GCA_964194135.1,GCA_964194205.1
sCetMax,Cetorhinus_maximus,sharks,GCA_964194155.1,GCA_964194165.1
mRhiHip,Rhinolophus_hipposideros,mammals,GCA_964194185.1,GCA_964194215.1
rVipBer,Vipera_berus,reptiles,GCA_964194415.1,GCA_964194405.1
bCalBor,Calonectris_borealis,birds,GCA_964195595.2,GCA_964196065.2
fScaEry,Scardinius_erythrophthalmus,fishes,GCA_964197995.1,GCA_024453875.1
kLamFlu,Lampetra_fluviatilis,chordates,GCA_964198595.1,GCA_965212235.1
bLarMic,Larus_michahellis,birds,GCA_964199755.1,GCA_964199725.1
aTriCri,Triturus_cristatus,amphibians,GCA_964204655.1,GCA_964204665.1
kStyCla,Styela_clava,chordates,GCA_964204865.1,GCA_964204955.1
aBomVar,Bombina_variegata,amphibians,GCA_964205295.1,GCA_964205305.1
bAytFer,Aythya_ferina,birds,GCA_964211825.1,GCA_964211795.1
bAnsAns,Anser_anser,birds,GCA_964211835.1,GCA_964211785.1
mMyoNat,Myotis_nattereri,mammals,GCA_964212035.2,GCA_964212025.2
sMusAst,Mustelus_asterias,sharks,GCA_964213995.1,GCA_964214025.1
rPodMel,Podarcis_melisellensis,reptiles,GCA_964234715.1,GCA_964234825.1
bGalChl,Gallinula_chloropus,birds,GCA_964237585.1,GCA_964237395.1
rPodErh,Podarcis_erhardii,reptiles,GCA_964252035.1,GCA_964251985.1
aLisHel,Lissotriton_helveticus,amphibians,GCA_964261635.1,GCA_964258895.1
aLisVul,Lissotriton_vulgaris,amphibians,GCA_964263255.1,GCA_964261385.1
fCorLav,Coregonus_lavaretus,fishes,GCA_964263955.1,GCA_964263835.1
mNycLei,Nyctalus_leisleri,mammals,GCA_964264875.2,GCA_964264895.2
fMicKit,Microstomus_kitt,fishes,GCA_964266715.1,GCA_964266705.1
rPodFil,Podarcis_filfolensis,reptiles,GCA_964270895.1,GCA_964270875.1
bStrDec,Streptopelia_decaocto,birds,GCA_964273445.1,GCA_964273585.1
rNatHel,Natrix_helvetica,reptiles,GCA_964273705.1,GCA_964273795.1
fGasAcu,Gasterosteus_aculeatus,fishes,GCA_964276395.1,GCA_964276385.1
bPhaAet,Phaethon_aethereus,birds,GCA_964289735.1,GCA_964289755.1
mMesMir,Mesoplodon_mirus,mammals,GCA_964341445.1,GCA_964341485.1
mGraGri,Grampus_griseus,mammals,GCA_964374135.1,GCA_964374185.1
fAstCal,Astatotilapia_calliptera,fishes,GCA_964374335.1,GCA_900246225.5
