"","IUCN","Generations","median_Ne","lq_Ne","uq_Ne"
"117","CR",123868.300437206,74369.4289446783,54133.9710825391,115202.75947336
"118","CR",130845.69488799,75441.2399426315,56266.6728354117,124941.033218587
"119","CR",138216.119945879,76903.9855309014,56692.7017084073,126647.579169276
"120","CR",146001.714685739,80927.245235126,58443.9558953357,121202.947552536
"121","CR",154225.865257416,94066.5010367184,58617.8473250021,123297.296502383
"122","CR",162913.275132391,102263.454842954,58406.5999703147,126365.958315793
"123","CR",172090.039307372,109072.935283801,58469.5259505959,131319.151748471
"124","CR",181783.722687707,112408.136268883,59189.4333838115,136461.306276531
"125","CR",192023.442886074,116180.403365775,60087.4758454494,146641.443709277
"126","CR",202839.957685137,120165.159012326,56770.9222027595,147130.678933476
"127","CR",214265.757426913,110027.154619599,57346.425083616,152452.510027655
"128","CR",226335.16260634,97660.6715687159,58081.0130070892,164943.113425596
"129","CR",239084.426962215,99096.1663112089,59005.1002186406,178142.29728486
"130","CR",252551.846375149,123195.7081945,60816.6635395895,193715.814098982
"131","CR",266777.873899654,121972.70776637,63818.9681354925,226398.005777068
"132","CR",281805.241275888,125083.695958652,75814.2251001853,291435.080911421
"133","CR",297679.087286047,133512.982796857,78236.8118144297,304479.758199164
"134","CR",314447.093340972,162125.440094189,81347.6048547752,371263.980051241
"135","CR",332159.626704218,154235.301375779,85092.2685161449,441837.495289885
"136","CR",350869.891783826,154235.301375779,89816.4305890259,529107.300100585
"137","CR",370634.089946219,154235.301375779,93407.4898172623,632432.701888372
"138","CR",391511.588332284,204411.916580696,96118.0842155364,562382.974121686
"139","CR",413565.098182711,205778.7349855,103577.340996599,657704.683583359
"140","CR",436860.863208252,207222.545091323,114722.43396506,816230.989045757
"141","CR",461468.858570709,208422.9234229,120610.322323661,826206.111327448
"142","CR",487463.001072353,237063.950292292,134640.744647382,722781.712071919
"143","CR",514921.371185126,222578.082419638,142462.516402655,773484.846767574
"144","CR",543926.447586564,211944.08159822,135857.62989981,1054856.50312235
"145","CR",574565.354906918,233778.509680473,141300.22260651,1332093.48296495
"146","CR",606930.125431666,265337.097006011,147148.347416754,1332093.48296495
"147","CR",641117.975545486,303485.852958911,180695.637347938,1332093.48296495
"148","CR",677231.597748102,583997.531859721,213156.458010588,1332093.48296495
"149","CR",715379.469119107,952340.099273622,240622.538657745,1332093.48296495
"150","CR",755676.177158363,1047333.09618537,248234.27209191,1523670.79131273
"151","CR",798242.763980694,997070.636392654,259419.932210489,1573264.44338009
"152","CR",843207.089898777,695886.45552089,272847.703366483,1695439.4822678
