"","Generations_end","IUCN","Ne_median","Ne_min","Ne_max","Ne_lq","Ne_uq"
"183",1666.272,"LC",5948.2384291892,5948.2384291892,5948.2384291892,5948.2384291892,5948.2384291892
"184",1668.12,"LC",30262.6800629464,30262.6800629464,30262.6800629464,30262.6800629464,30262.6800629464
"185",1679.112,"LC",36376.5334982403,36376.5334982403,36376.5334982403,36376.5334982403,36376.5334982403
"186",1684.76,"LC",58363.0620180488,58363.0620180488,58363.0620180488,58363.0620180488,58363.0620180488
"187",1685.952,"EN",1328.70942453595,1328.70942453595,1328.70942453595,1328.70942453595,1328.70942453595
"188",1691.16,"CR",5643.44436339831,5643.44436339831,5643.44436339831,5643.44436339831,5643.44436339831
"189",1696.456,"VU",31866.6698533337,31866.6698533337,31866.6698533337,31866.6698533337,31866.6698533337
"190",1702.616,"LC",15896.5452832963,15896.5452832963,15896.5452832963,15896.5452832963,15896.5452832963
"191",1719.144,"VU",15538.4460000155,15538.4460000155,15538.4460000155,15538.4460000155,15538.4460000155
"192",1729.776,"CR",6235.97879143613,6235.97879143613,6235.97879143613,6235.97879143613,6235.97879143613
"193",1739.712,"LC",8968.60986547085,8968.60986547085,8968.60986547085,8968.60986547085,8968.60986547085
"194",1747.4,"VU",21156.6331334031,21156.6331334031,21156.6331334031,21156.6331334031,21156.6331334031
"195",1749.616,"LC",16283.131083276,16283.131083276,16283.131083276,16283.131083276,16283.131083276
"196",1756.6,"LC",1023455.03066527,1023455.03066527,1023455.03066527,1023455.03066527,1023455.03066527
"197",1758.472,"EN",5127.73837253276,5127.73837253276,5127.73837253276,5127.73837253276,5127.73837253276
"198",1761.952,"LC",826890.478356142,826890.478356142,826890.478356142,826890.478356142,826890.478356142
"199",1764.44,"LC",24461.8395303327,24461.8395303327,24461.8395303327,24461.8395303327,24461.8395303327
"200",1772.44,"CR",629.886541686679,629.886541686679,629.886541686679,629.886541686679,629.886541686679
"201",1773.912,"VU",5806.82156363188,5806.82156363188,5806.82156363188,5806.82156363188,5806.82156363188
"202",1774.952,"LC",21687.6223317447,21687.6223317447,21687.6223317447,21687.6223317447,21687.6223317447
"203",1775.608,"LC",37348.2726423903,37348.2726423903,37348.2726423903,37348.2726423903,37348.2726423903
"204",1776.752,"NT",10202.4679770036,10202.4679770036,10202.4679770036,10202.4679770036,10202.4679770036
"205",1803.376,"LC",44613.0321358824,44613.0321358824,44613.0321358824,44613.0321358824,44613.0321358824
"206",1808.4,"LC",18949.8019745694,18949.8019745694,18949.8019745694,18949.8019745694,18949.8019745694
"207",1810.68,"EN",5698.67135477363,5698.67135477363,5698.67135477363,5698.67135477363,5698.67135477363
"208",1813.632,"NT",119600.41501344,119600.41501344,119600.41501344,119600.41501344,119600.41501344
"209",1814.6,"LC",22399.4265746797,22399.4265746797,22399.4265746797,22399.4265746797,22399.4265746797
"210",1816.128,"LC",17169.8137504453,17169.8137504453,17169.8137504453,17169.8137504453,17169.8137504453
"211",1823.256,"VU",10471.5057239868,10471.5057239868,10471.5057239868,10471.5057239868,10471.5057239868
"212",1823.656,"LC",3924.99337657368,3924.99337657368,3924.99337657368,3924.99337657368,3924.99337657368
"213",1831.72,"LC",10157.8014454551,10157.8014454551,10157.8014454551,10157.8014454551,10157.8014454551
"214",1840.416,"EN",1540.99232200576,1540.99232200576,1540.99232200576,1540.99232200576,1540.99232200576
"215",1856.24,"VU",4669.98391190542,4669.98391190542,4669.98391190542,4669.98391190542,4669.98391190542
"216",1867.456,"LC",73508.4672565721,73508.4672565721,73508.4672565721,73508.4672565721,73508.4672565721
"217",1876.016,"EN",289475.398209595,289475.398209595,289475.398209595,289475.398209595,289475.398209595
"218",1878.656,"EN",11422.8599985721,11422.8599985721,11422.8599985721,11422.8599985721,11422.8599985721
"219",1883.816,"LC",44582.501591038,44582.501591038,44582.501591038,44582.501591038,44582.501591038
"220",1884.152,"CR",6445.19889078127,6445.19889078127,6445.19889078127,6445.19889078127,6445.19889078127
"221",1889.272,"LC",22400.3046441432,22400.3046441432,22400.3046441432,22400.3046441432,22400.3046441432
"222",1891.288,"LC",11948.109361045,11948.109361045,11948.109361045,11948.109361045,11948.109361045
"223",1891.744,"LC",79435.3733661137,79435.3733661137,79435.3733661137,79435.3733661137,79435.3733661137
"224",1893.088,"NT",7122.35493543585,7122.35493543585,7122.35493543585,7122.35493543585,7122.35493543585
"225",1893.904,"LC",70771.2831364417,70771.2831364417,70771.2831364417,70771.2831364417,70771.2831364417
"226",1896.184,"NT",1975269.62430372,1975269.62430372,1975269.62430372,1975269.62430372,1975269.62430372
"227",1898.032,"LC",83036.822679017,83036.822679017,83036.822679017,83036.822679017,83036.822679017
"228",1906.584,"LC",65349.5465558338,65349.5465558338,65349.5465558338,65349.5465558338,65349.5465558338
"229",1908,"LC",3017.0918251897,3017.0918251897,3017.0918251897,3017.0918251897,3017.0918251897
"230",1908.512,"LC",1976.87061381833,1976.87061381833,1976.87061381833,1976.87061381833,1976.87061381833
"231",1922.568,"LC",24468.7228550106,24468.7228550106,24468.7228550106,24468.7228550106,24468.7228550106
"232",1922.656,"LC",127763.280194456,127763.280194456,127763.280194456,127763.280194456,127763.280194456
"233",1925.84,"VU",108201.687946332,108201.687946332,108201.687946332,108201.687946332,108201.687946332
"234",1933.888,"VU",9732.78635074042,9732.78635074042,9732.78635074042,9732.78635074042,9732.78635074042
"235",1942.168,"LC",27383.3810260553,27383.3810260553,27383.3810260553,27383.3810260553,27383.3810260553
"236",1948.584,"NT",33702.3743322717,33702.3743322717,33702.3743322717,33702.3743322717,33702.3743322717
"237",1949.288,"LC",2211.50869122916,2211.50869122916,2211.50869122916,2211.50869122916,2211.50869122916
"238",1957.904,"LC",10238.5322040232,10238.5322040232,10238.5322040232,10238.5322040232,10238.5322040232
"239",1963.256,"LC",4493.24608947176,4493.24608947176,4493.24608947176,4493.24608947176,4493.24608947176
"240",1964.8,"LC",3768.71402055834,3768.71402055834,3768.71402055834,3768.71402055834,3768.71402055834
"241",1969.16,"LC",28232.8362001426,28232.8362001426,28232.8362001426,28232.8362001426,28232.8362001426
"242",1977.344,"LC",1133.17657724015,1133.17657724015,1133.17657724015,1133.17657724015,1133.17657724015
"243",1981.504,"LC",269162.702124367,269162.702124367,269162.702124367,269162.702124367,269162.702124367
"244",1982.248,"LC",53416.5206615102,53416.5206615102,53416.5206615102,53416.5206615102,53416.5206615102
"245",1985.44,"LC",9063820.62698979,9063820.62698979,9063820.62698979,9063820.62698979,9063820.62698979
"246",2001.912,"LC",48496.1936550005,48496.1936550005,48496.1936550005,48496.1936550005,48496.1936550005
"247",2006.696,"EN",480269.335043092,480269.335043092,480269.335043092,480269.335043092,480269.335043092
"248",2007.912,"EN",9337.22072956374,9337.22072956374,9337.22072956374,9337.22072956374,9337.22072956374
"249",2010.64,"LC",61300.7090959525,61300.7090959525,61300.7090959525,61300.7090959525,61300.7090959525
"250",2013.24,"LC",4849.36655149421,4849.36655149421,4849.36655149421,4849.36655149421,4849.36655149421
"251",2013.312,"LC",61009.1834073324,61009.1834073324,61009.1834073324,61009.1834073324,61009.1834073324
"252",2017.608,"NT",4971.64299128844,4971.64299128844,4971.64299128844,4971.64299128844,4971.64299128844
"253",2020.112,"CR",4899.95516541024,4899.95516541024,4899.95516541024,4899.95516541024,4899.95516541024
"254",2027.896,"VU",5518.53538070996,5518.53538070996,5518.53538070996,5518.53538070996,5518.53538070996
"255",2031.824,"LC",10714.3239797285,10714.3239797285,10714.3239797285,10714.3239797285,10714.3239797285
"256",2032.72,"NT",4876.13400591475,4876.13400591475,4876.13400591475,4876.13400591475,4876.13400591475
"257",2043.88,"LC",5614.12964148168,5614.12964148168,5614.12964148168,5614.12964148168,5614.12964148168
"258",2051.424,"EN",19182.3522359429,19182.3522359429,19182.3522359429,19182.3522359429,19182.3522359429
"259",2053.784,"LC",132140.108156679,132140.108156679,132140.108156679,132140.108156679,132140.108156679
"260",2066.264,"LC",99859.1985300726,99859.1985300726,99859.1985300726,99859.1985300726,99859.1985300726
"261",2070.768,"NT",50680.6410087475,50680.6410087475,50680.6410087475,50680.6410087475,50680.6410087475
"262",2071.632,"LC",10660.5546153539,10660.5546153539,10660.5546153539,10660.5546153539,10660.5546153539
"263",2077.752,"LC",31513.1843284934,31513.1843284934,31513.1843284934,31513.1843284934,31513.1843284934
"264",2088.2,"CR",11127.8647296763,11127.8647296763,11127.8647296763,11127.8647296763,11127.8647296763
"265",2092.944,"LC",9821.75961734425,9821.75961734425,9821.75961734425,9821.75961734425,9821.75961734425
"266",2099.032,"VU",6110.14452019326,6110.14452019326,6110.14452019326,6110.14452019326,6110.14452019326
"267",2113.472,"LC",74524.2557821507,74524.2557821507,74524.2557821507,74524.2557821507,74524.2557821507
"268",2114.432,"LC",39550.7040025312,39550.7040025312,39550.7040025312,39550.7040025312,39550.7040025312
"269",2114.728,"EN",7565.11197311359,7565.11197311359,7565.11197311359,7565.11197311359,7565.11197311359
