"","IUCN","Generations","median_Ne","lq_Ne","uq_Ne"
"301","EN",124749.938064939,65518.109077784,43094.0749362415,97527.6956469836
"302","EN",132946.920148779,64199.2606189325,46004.7827822452,103963.271655014
"303","EN",141682.503824933,69027.4163576957,47699.2991178208,100070.855145914
"304","EN",150992.079151872,72220.5761825271,49769.8670161171,105332.362727977
"305","EN",160913.361573395,74937.7098073095,53481.681763534,121807.26367472
"306","EN",171486.544713421,80570.4146588765,55809.9645701241,120157.24632577
"307","EN",182754.463210534,86395.6574111975,60330.4390541245,136199.271628498
"308","EN",194762.766251925,93764.6265687238,64933.0736536115,138401.565203425
"309","EN",207560.102509801,100351.879073219,68238.3770580089,149497.17867298
"310","EN",221198.317229453,101446.413078632,70553.8884552579,157281.529746638
"311","EN",235732.662267456,119735.520696221,71880.1986295125,171829.490848532
"312","EN",251222.019930916,116311.608500065,76491.4978657321,221344.288949329
"313","EN",267729.141524579,134603.523420548,80947.3521091751,287732.183307622
"314","EN",285320.901572239,137703.664852551,89524.2038707532,339645.697380427
"315","EN",304068.568742345,140632.373435372,92845.9233959585,381781.488673989
"316","EN",324048.094575396,147048.633058024,96344.4018070286,410261.538059261
"317","EN",345340.421182839,161622.342976792,97782.6300209153,382132.690870169
"318","EN",368031.809164034,177345.051842441,103796.123231841,482813.998622342
"319","EN",392214.187069749,191777.556900581,103863.434551146,730012.556131324
"320","EN",417985.52382797,214616.931339542,121998.482419788,1000053.5893728
"321","EN",445450.225640798,213019.628300302,140948.05614784,1249730.77242474
"322","EN",474719.558960383,240854.31631401,138838.767325206,1450804.29043485
"323","EN",505912.101257447,318761.677455062,154357.617304674,1501067.88705385
"324","EN",539154.221408613,362922.216333781,195268.196806486,1450804.29043485
"325","EN",574580.591648674,421909.454773958,205255.150440807,1450804.29043485
"326","EN",612334.733161873,551580.346640669,238858.217099787,1653650.66766626
"327","EN",652569.597522513,737617.801498648,241301.352149321,1770286.91171839
"328","EN",695448.186340459,771584.854853639,265827.736141842,1770286.91171839
"329","EN",741144.211621887,934710.473430855,261865.952311149,1821931.68369306
"330","EN",789842.799520536,1178261.0431745,268344.609289314,1821931.68369306
"331","EN",841741.240330581,1207346.70469809,311940.248660693,2056874.96782186
"332","EN",897049.787759499,1207346.70469809,368681.556064473,2190944.49444386
"333","EN",955992.510719002,1343386.34111938,393851.570225649,2206113.6366284
"334","EN",1018808.20108488,1412179.15843294,529836.693846288,2372531.87449658
"335","EN",1085751.34110323,1591244.81924001,835345.272865936,2558696.47251832
"336","EN",1157093.13436244,1745276.84453947,830323.622365052,2460386.22178332
"337","EN",1233122.60450748,1745276.84453947,748257.574150974,2584744.17699508
"338","EN",1314147.76614776,1754301.32756753,958612.092818926,2588914.83997716
"339","EN",1400496.87270222,1786272.49586924,958612.092818926,2632937.31584144
"340","EN",1492519.74623694,1754301.32756753,995531.333498115,2665512.70023195
"341","EN",1590589.19468279,1754301.32756753,1067010.13457672,2640241.19311851
"342","EN",1695102.5221746,1843156.58997599,1131673.1833891,2706725.55779926
"343","EN",1806483.13863074,1800706.77741013,1131673.1833891,2830221.60503773
