,accession,Gardiner_captivity_flag,Gardiner_domestication_flag,Gardiner_flag_notes,Sudmant_zoo_flag,Combined_captivity_flag,Animal,Assembly,Band,Bird,CBP,Cells,Collection,Columbia,Common,Culture,ENA,ENA.CHECKLIST,ENA.FIRST.PUBLIC,ENA.LAST.UPDATE,External,Father,Field,Funding,GAL,GAL_sample_id,GN,Genome,INSDC,ISIS,Identified,Individual,Loan,Local,Marine,Material,McGill,Mobilization,Moreton,Mother,Necropsy,Note,Oregon,Panamanian,Permit,Permits,Previous,Report,Sample,Scientific,Sex,Smithsonian,Source,Species360,Stanford,State,Studbook,Subject,Submission,Submitter,ToLID,Tube,Turtle,UF,UQ,USNM,Vassar,Weight,Wieght,age,altitude,barcoding,bio.material,biomaterial,biomaterial_provider,bioproject_accession2,birth_date,birth_location,breed,breed_note,breeding_history,breeding_method,broker,cell_line,cell_type,collected,collected.by,collected_by,collecting,collection,collection.date,collection_date,common,country,cultivar,culture_or_strain_id,date,death_date,depth,derived.from,dev_stage,developmental_age,ecotype,elevation,env_broad_scale,env_local_scale,env_medium,estimated_size,family,funding,geo_loc_name,geographic,growth_protocol,habitat,health_state,identified,identified_by,identifier_affiliation,isol_growth_condt,isolate,isolate_name_alias,isolation.source,isolation_source,label,lat.lon,lat_lon,latitude,lifestage,material,note,order,organism,orgmod_note,original,permit,permits,phenotype,project,provider,proxy,ref_biomaterial,relationship,sample,sample_type,scientific_name,sex,specimen,specimen_id,specimen_voucher,storage,store_cond,strain,sub,sub_species,subject,subject_id,submission,symbiont,tissue,tolid,treatment,voucher,yggdrasil,yggdrasil_individual_id
118,GCA_027406535.1,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Oliver Ryder, San Diego Zoo Global""",,"Attribute ""15 Feb 1989""","Attribute ""San Diego Zoo, USA""",,,,,,,,,,"Attribute ""San Diego Zoo""",,,,"Attribute ""2003-04-13""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""USA: San Diego Zoo, San Diego""",,,,,,,,,"Attribute ""mNycCou1""",,,,,,"Attribute ""32.7353 N 117.1490 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,"Attribute ""589034, OR 2410""",,"Attribute ""-80oC""",,,,,,,,"Attribute ""kidney""",,"Attribute ""frozen""",,,
127,GCA_027574665.1,yes,no,geo_loc_name,NA,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Parc Zoologique et Forestier Michel Corbasson, New Caledonia""",,,,,,,,,,,,,"Attribute ""Parc Zoologique veterinarian, Almudena Lorenzo""",,,,"Attribute ""2021-01-21""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""New Caledonia: Parc Zoologique Et Forestier Michel Corbasson""",,,,,,,,,"Attribute ""bRhyJub1""",,,,,,"Attribute ""22.25637 S 166.45781 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,"Attribute ""KAGU-NC FNP14-00017, 11-001""",,"Attribute ""-80oC""",,,,,,,,"Attribute ""blood""",,"Attribute ""ethanol""",,,
131,GCA_027595965.1,yes,no,lat_lon,NA,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Parc Zoologique et Forestier Michel Corbasson, New Caledonia""",,,,,,,,,,,,,"Attribute ""Parc Zoologique veterinarian, Almudena Lorenzo""",,,,"Attribute ""2021-01-21""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""New Caledonia: Parc Zoologique Et Forestier Michel Corbasson""",,,,,,,,,"Attribute ""bRhyJub1""",,,,,,"Attribute ""22.25637 S 166.45781 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,"Attribute ""KAGU-NC FNP14-00017, 11-001""",,"Attribute ""-80oC""",,,,,,,,"Attribute ""blood""",,"Attribute ""ethanol""",,,
135,GCA_028018655.1,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Smithsonian Conservation Biology Institute""",,,,,,,,,,,,,"Attribute ""SCBI Veterinary Staff, Klaus Koepfli""",,,,"Attribute ""2019-11-13""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""USA: Smithsonian National Zoological Park""",,,,,,,,,"Attribute ""mNeoNeb1""",,,,,,"Attribute ""38.97061706 N 77.05021107 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,,,"Attribute ""-80oC""",,,,,,,,"Attribute ""blood""",,"Attribute ""frozen""",,,
141,GCA_028389885.1,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Oliver Ryder, San Diego Zoo Global""",,,,,,,,,,,,,"Attribute ""San Diego Zoo""",,,,"Attribute ""2012-12-14""",,,,,,,,,"Attribute ""unkown""",,,,,,,,,,"Attribute ""USA: San Diego Zoo""",,,,,,,,,"Attribute ""bPtePen1""",,,,,,"Attribute ""32.73547391 N 117.14903527 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,"Attribute ""899214""",,,,,,,,,,"Attribute ""heart muscle""",,,,,
144,GCA_028571665.1,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ID	Attribute ""KRONBERG / 912""",,,,,,,,,,,,,,"number	Attribute ""N0277-2012""",,,,,,"Attribute ""23092889""",,,,,,,,,,,,,,,,"Attribute ""6 years, 6 months, 11 days""",,,,,"Attribute ""Gudrun Wibbelt, Leibniz Institute for Zoo and Wildlife Research""",,"Attribute ""May 1, 2002""","Attribute ""Opel-Zoo von Opel Hessische Zoostiftung""",,,,,,,,,,"Attribute ""Opel-Zoo""",,,,"Attribute ""2012-06-27""",,,,,,"Attribute ""June 27, 2012""",,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Germany: Opel Zoo, Kronberg im Taunus""",,,,,,,,,"Attribute ""mHetBru1""",,,,,,"Attribute ""50.183333 N 8.486389 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,,,"Attribute ""-80oC""",,,,,,,,"Attribute ""spleen""",,"Attribute ""frozen""",,,
145,GCA_028571685.1,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ID	Attribute ""KRONBERG / 912""",,,,,,,,,,,,,,"number	Attribute ""N0277-2012""",,,,,,"Attribute ""23092889""",,,,,,,,,,,,,,,,"Attribute ""6 years, 6 months, 11 days""",,,,,"Attribute ""Gudrun Wibbelt, Leibniz Institute for Zoo and Wildlife Research""",,"Attribute ""May 1, 2002""","Attribute ""Opel-Zoo von Opel Hessische Zoostiftung""",,,,,,,,,,"Attribute ""Opel-Zoo""",,,,"Attribute ""2012-06-27""",,,,,,"Attribute ""June 27, 2012""",,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Germany: Opel Zoo, Kronberg im Taunus""",,,,,,,,,"Attribute ""mHetBru1""",,,,,,"Attribute ""50.183333 N 8.486389 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,,,"Attribute ""-80oC""",,,,,,,,"Attribute ""spleen""",,"Attribute ""frozen""",,,
148,GCA_030020295.1,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ID	Attribute ""OR5155""",,,,,,,,,,,,,,,,,"Attribute ""3 years, 8 months""",,,,,"Attribute ""Oliver Ryder, San Diego Zoo, Frozen Zoo""",,"Attribute ""01/01/2009""","Attribute ""San Diego Zoo, CA, USA""",,,,,,,,,,"Attribute ""San Diego Zoo""",,,,"Attribute ""2012-08-18""",,,,,,,,,"Attribute ""juvenile""",,,,,,,,,,"Attribute ""USA: San Diego Zoo, San Diego""",,,,,,,,,"Attribute ""rGavGan2""",,,,,,"Attribute ""32.7360 N 117.1510 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,,,"Attribute ""-80oC""",,,,,,,,"Attribute ""heart muscle""",,,,,
150,GCA_030412105.1,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ID	Attribute ""13927""",,,,,,,,,,,,,,,,,,,,,,"Attribute ""Oliver Ryder, San Diego Zoo Global""",,"Attribute ""09/29/1996""","Attribute ""San Diego Zoo, USA""",,,,,,,,,,,,,,"Attribute ""2003-10-16""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""USA: San Diego Zoo, San Diego""",,,,,,,,,"Attribute ""rCycPin1""",,,,,,"Attribute ""32.73555058 N 117.14936122 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,,,"Attribute ""-80oC""",,,,,,,,"Attribute ""blood""",,,,,
151,GCA_030449815.1,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Copenhagen Zoo""",,,,,,,,,,,,,"Attribute ""Mads Bertelsen""",,,,"Attribute ""2020-06-11""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Denmark: Copenhagen Zoo""",,,,,,,,,"Attribute ""bPelCri1""",,,,,,"Attribute ""55.6724 N 12.5214 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,,,"Attribute ""70% EtOH frozen""",,,,,,,,"Attribute ""blood""",,"Attribute ""flash frozen""",,,
