,accession,Gardiner_captivity_flag,Gardiner_domestication_flag,Gardiner_flag_notes,Sudmant_zoo_flag,Combined_captivity_flag,Animal,Assembly,Band,Bird,CBP,Cells,Collection,Columbia,Common,Culture,ENA,ENA.CHECKLIST,ENA.FIRST.PUBLIC,ENA.LAST.UPDATE,External,Father,Field,Funding,GAL,GAL_sample_id,GN,Genome,INSDC,ISIS,Identified,Individual,Loan,Local,Marine,Material,McGill,Mobilization,Moreton,Mother,Necropsy,Note,Oregon,Panamanian,Permit,Permits,Previous,Report,Sample,Scientific,Sex,Smithsonian,Source,Species360,Stanford,State,Studbook,Subject,Submission,Submitter,ToLID,Tube,Turtle,UF,UQ,USNM,Vassar,Weight,Wieght,age,altitude,barcoding,bio.material,biomaterial,biomaterial_provider,bioproject_accession2,birth_date,birth_location,breed,breed_note,breeding_history,breeding_method,broker,cell_line,cell_type,collected,collected.by,collected_by,collecting,collection,collection.date,collection_date,common,country,cultivar,culture_or_strain_id,date,death_date,depth,derived.from,dev_stage,developmental_age,ecotype,elevation,env_broad_scale,env_local_scale,env_medium,estimated_size,family,funding,geo_loc_name,geographic,growth_protocol,habitat,health_state,identified,identified_by,identifier_affiliation,isol_growth_condt,isolate,isolate_name_alias,isolation.source,isolation_source,label,lat.lon,lat_lon,latitude,lifestage,material,note,order,organism,orgmod_note,original,permit,permits,phenotype,project,provider,proxy,ref_biomaterial,relationship,sample,sample_type,scientific_name,sex,specimen,specimen_id,specimen_voucher,storage,store_cond,strain,sub,sub_species,subject,subject_id,submission,symbiont,tissue,tolid,treatment,voucher,yggdrasil,yggdrasil_individual_id
368,GCA_949987585.1,no,no,Geographic,NA,no,,,,,,,,,,,,"Attribute ""ERC000053""","Attribute ""2021-09-09T13:04:57Z""","Attribute ""2021-09-09T13:04:57Z""","Id	Attribute ""SAMEA9921456""",,,,"Attribute ""Sanger Institute""","Attribute ""NOT PROVIDED""",,,"center name	Attribute ""EarlhamInstitute"", first public	Attribute ""2021-09-09T13:04:57Z"", last update	Attribute ""2021-09-09T13:04:57Z"", status	Attribute ""public""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Id	Attribute ""6139f8b4aad1045783de66f7""",,,,,,,,,,,,,,,,,,,,,,,"name	Attribute ""COPO""",,,"by	Attribute ""Manuel Ruedi""",,,"institution	Attribute ""Natural History Museum Geneva (MHNG)""","date	Attribute ""2021-06-17""",,,"name	Attribute ""soprano pipistrelle""",,,,,,,,,,,,,,,,,,,"location (country and/or sea)	Attribute ""Switzerland"", location (latitude)	Attribute ""46.19338"", location (longitude)	Attribute ""6.17099"", location (region and locality)	Attribute ""Geneva""",,"Attribute ""urbanised city""",,"by	Attribute ""Manuel Ruedi""",,"Attribute ""MHNG""",,,,,,,,,,"Attribute ""adult""",,,,"part	Attribute ""WHOLE ORGANISM""",,,,,,"name	Attribute ""DTOL""",,,,,"name	Attribute ""6139f8b4aad1045783de66f7""",,"Attribute ""Pipistrellus pygmaeus""","Attribute ""male""","id	Attribute ""SAN0001697"", voucher	Attribute ""NOT COLLECTED""",,,,,,,,,,,,,"Attribute ""mPipPyg2""",,,,
369,GCA_949987605.1,,,,no,no,,,,,,,,,,,,"Attribute ""ERC000053""","Attribute ""2022-11-08T12:23:44Z""","Attribute ""2022-11-08T12:23:44Z""","Id	Attribute ""SAMEA111562038""",,,,"Attribute ""Marine Biological Association""","Attribute ""NOT PROVIDED""",,,"center name	Attribute ""EarlhamInstitute"", first public	Attribute ""2022-11-08T12:23:44Z"", last update	Attribute ""2022-11-08T12:23:44Z"", status	Attribute ""public""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Id	Attribute ""636a4a50c0ac074f4d53142d""",,,,,,,,,,,,"center	Attribute ""NATURAL HISTORY MUSEUM""",,,,,,,,,,,"name	Attribute ""COPO""",,,,,"Attribute ""FRANCES PERRY| RACHEL BRITTAIN|MITCHELL BRENEN| SEAN MCTIERNEY|JOANNA HARLEY|PATRICK ADKINS|KES SCOTT-SOMME""","institution	Attribute ""MARINE BIOLOGICAL ASSOCIATION|MARINE BIOLOGICAL ASSOCIATION|MARINE BIOLOGICAL ASSOCIATION|MARINE BIOLOGICAL ASSOCIATION|MARINE BIOLOGICAL ASSOCIATION|MARINE BIOLOGICAL ASSOCIATION|MARINE BIOLOGICAL ASSOCIATION""","date	Attribute ""2021-11-16""",,,"name	Attribute ""pollack""",,,,,,"Attribute ""1-2M""",,,,,,,,,,,,,"location (country and/or sea)	Attribute ""United Kingdom"", location (latitude)	Attribute ""50.265247"", location (longitude)	Attribute ""-3.972"", location (region and locality)	Attribute ""Bigbury Bay|Trawl 2""",,"Attribute ""broken shell and sand""",,,"Attribute ""RACHEL BRITTAIN""","Attribute ""MARINE BIOLOGICAL ASSOCIATION""",,,,,,,,,,"Attribute ""adult""",,,,"part	Attribute ""WHOLE ORGANISM""",,,,,,"name	Attribute ""DTOL""",,,,,"collection device or method	Attribute ""Otter Trawl from Sepia"", name	Attribute ""636a4a50c0ac074f4d53142d""",,"Attribute ""Pollachius pollachius""","Attribute ""NOT COLLECTED""",,"Attribute ""MBA-211116-002A""","Attribute ""MBA-211116-002A""",,,,,,,,,,,"Attribute ""fPolPol2""",,,,
370,GCA_949987615.1,,,,no,no,,,,,,,,,,,,"Attribute ""ERC000053""","Attribute ""2022-11-08T12:23:44Z""","Attribute ""2022-11-08T12:23:44Z""","Id	Attribute ""SAMEA111562038""",,,,"Attribute ""Marine Biological Association""","Attribute ""NOT PROVIDED""",,,"center name	Attribute ""EarlhamInstitute"", first public	Attribute ""2022-11-08T12:23:44Z"", last update	Attribute ""2022-11-08T12:23:44Z"", status	Attribute ""public""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Id	Attribute ""636a4a50c0ac074f4d53142d""",,,,,,,,,,,,"center	Attribute ""NATURAL HISTORY MUSEUM""",,,,,,,,,,,"name	Attribute ""COPO""",,,,,"Attribute ""FRANCES PERRY| RACHEL BRITTAIN|MITCHELL BRENEN| SEAN MCTIERNEY|JOANNA HARLEY|PATRICK ADKINS|KES SCOTT-SOMME""","institution	Attribute ""MARINE BIOLOGICAL ASSOCIATION|MARINE BIOLOGICAL ASSOCIATION|MARINE BIOLOGICAL ASSOCIATION|MARINE BIOLOGICAL ASSOCIATION|MARINE BIOLOGICAL ASSOCIATION|MARINE BIOLOGICAL ASSOCIATION|MARINE BIOLOGICAL ASSOCIATION""","date	Attribute ""2021-11-16""",,,"name	Attribute ""pollack""",,,,,,"Attribute ""1-2M""",,,,,,,,,,,,,"location (country and/or sea)	Attribute ""United Kingdom"", location (latitude)	Attribute ""50.265247"", location (longitude)	Attribute ""-3.972"", location (region and locality)	Attribute ""Bigbury Bay|Trawl 2""",,"Attribute ""broken shell and sand""",,,"Attribute ""RACHEL BRITTAIN""","Attribute ""MARINE BIOLOGICAL ASSOCIATION""",,,,,,,,,,"Attribute ""adult""",,,,"part	Attribute ""WHOLE ORGANISM""",,,,,,"name	Attribute ""DTOL""",,,,,"collection device or method	Attribute ""Otter Trawl from Sepia"", name	Attribute ""636a4a50c0ac074f4d53142d""",,"Attribute ""Pollachius pollachius""","Attribute ""NOT COLLECTED""",,"Attribute ""MBA-211116-002A""","Attribute ""MBA-211116-002A""",,,,,,,,,,,"Attribute ""fPolPol2""",,,,
371,GCA_949987685.1,,,,no,no,,,,,,,,,,,,"Attribute ""ERC000053""",,,,,,,"Attribute ""Sanger Institute""","Attribute ""NOT PROVIDED""",,,"center name	Attribute ""Tree of Life Programme""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Id	Attribute ""22814""",,,,,,,,,,,,,,,,,,,,,,,,,,"by	Attribute ""HELGA BARA MOHR VANG""",,,"institution	Attribute ""Faroe Marine Research Institute""","date	Attribute ""2021-09-10""",,,"name	Attribute ""lesser sand-eel""",,,,,,"Attribute ""115""",,,,,,,,,,,,,"location (country and/or sea)	Attribute ""Faroe Islands"", location (latitude)	Attribute ""60.94"", location (longitude)	Attribute ""-8.42"", location (region and locality)	Attribute ""Faroe Bank""",,"Attribute ""Shellsand""",,"by	Attribute ""HELGA BARA MOHR VANG""",,"Attribute ""Faroe Marine Research Institute""",,,,,,,,,,"Attribute ""adult""",,,,"part	Attribute ""WHOLE ORGANISM""",,,,,,"name	Attribute ""ERGA""",,,,,"name	Attribute ""22814""",,"Attribute ""Ammodytes marinus""","Attribute ""female""","id	Attribute ""ERGA SM FO 03"", voucher	Attribute ""NOT PROVIDED""",,,,,,,,,,,"Attribute ""N""",,"Attribute ""fAmmMar1""",,,,
372,GCA_949987765.1,no,no,Geographic,NA,no,,,,,,,,,,,,"Attribute ""ERC000053""","Attribute ""2021-09-09T13:04:57Z""","Attribute ""2021-09-09T13:04:57Z""","Id	Attribute ""SAMEA9921456""",,,,"Attribute ""Sanger Institute""","Attribute ""NOT PROVIDED""",,,"center name	Attribute ""EarlhamInstitute"", first public	Attribute ""2021-09-09T13:04:57Z"", last update	Attribute ""2021-09-09T13:04:57Z"", status	Attribute ""public""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Id	Attribute ""6139f8b4aad1045783de66f7""",,,,,,,,,,,,,,,,,,,,,,,"name	Attribute ""COPO""",,,"by	Attribute ""Manuel Ruedi""",,,"institution	Attribute ""Natural History Museum Geneva (MHNG)""","date	Attribute ""2021-06-17""",,,"name	Attribute ""soprano pipistrelle""",,,,,,,,,,,,,,,,,,,"location (country and/or sea)	Attribute ""Switzerland"", location (latitude)	Attribute ""46.19338"", location (longitude)	Attribute ""6.17099"", location (region and locality)	Attribute ""Geneva""",,"Attribute ""urbanised city""",,"by	Attribute ""Manuel Ruedi""",,"Attribute ""MHNG""",,,,,,,,,,"Attribute ""adult""",,,,"part	Attribute ""WHOLE ORGANISM""",,,,,,"name	Attribute ""DTOL""",,,,,"name	Attribute ""6139f8b4aad1045783de66f7""",,"Attribute ""Pipistrellus pygmaeus""","Attribute ""male""","id	Attribute ""SAN0001697"", voucher	Attribute ""NOT COLLECTED""",,,,,,,,,,,,,"Attribute ""mPipPyg2""",,,,
373,GCA_950004245.1,,,,no,no,,,,,,,,,,,,"Attribute ""ERC000053""",,,,,,,"Attribute ""Sanger Institute""","Attribute ""NOT PROVIDED""",,,"center name	Attribute ""Tree of Life Programme""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Id	Attribute ""22814""",,,,,,,,,,,,,,,,,,,,,,,,,,"by	Attribute ""HELGA BARA MOHR VANG""",,,"institution	Attribute ""Faroe Marine Research Institute""","date	Attribute ""2021-09-10""",,,"name	Attribute ""lesser sand-eel""",,,,,,"Attribute ""115""",,,,,,,,,,,,,"location (country and/or sea)	Attribute ""Faroe Islands"", location (latitude)	Attribute ""60.94"", location (longitude)	Attribute ""-8.42"", location (region and locality)	Attribute ""Faroe Bank""",,"Attribute ""Shellsand""",,"by	Attribute ""HELGA BARA MOHR VANG""",,"Attribute ""Faroe Marine Research Institute""",,,,,,,,,,"Attribute ""adult""",,,,"part	Attribute ""WHOLE ORGANISM""",,,,,,"name	Attribute ""ERGA""",,,,,"name	Attribute ""22814""",,"Attribute ""Ammodytes marinus""","Attribute ""female""","id	Attribute ""ERGA SM FO 03"", voucher	Attribute ""NOT PROVIDED""",,,,,,,,,,,"Attribute ""N""",,"Attribute ""fAmmMar1""",,,,
374,GCA_950005055.1,,,,no,no,,,,,,,,,,,,"Attribute ""ERC000053""","Attribute ""2022-09-22T12:12:57Z""","Attribute ""2023-06-27T10:40:27Z""","Id	Attribute ""SAMEA111380540""",,,,"Attribute ""Sanger Institute""","Attribute ""NOT PROVIDED""",,,"center name	Attribute ""Tree of Life Programme"", first public	Attribute ""2022-09-22T12:12:57Z"", last update	Attribute ""2023-06-27T10:40:27Z"", status	Attribute ""public""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Id	Attribute ""25509""",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Andrew Brownlow""","institution	Attribute ""Scottish Marine Animal Stranding Scheme University of Glasgow""","date	Attribute ""2021-04-27""",,,"name	Attribute ""minke whale""",,,,,,,,,,,,,,,,,,,"location (country and/or sea)	Attribute ""United Kingdom"", location (latitude)	Attribute ""56.02805556"", location (longitude)	Attribute ""-3.37027778"", location (region and locality)	Attribute ""Scotland | FIfe | Dalgety Bay""",,"Attribute ""Beach""",,,"Attribute ""Nick Davison""","Attribute ""Scottish Marine Animal Stranding Scheme University of Glasgow""",,,,,,,,,,"Attribute ""juvenile""",,,,"part	Attribute ""WHOLE ORGANISM""",,,,,,"name	Attribute ""DTOL""",,,,,"name	Attribute ""25509""",,"Attribute ""Balaenoptera acutorostrata""","Attribute ""female""",,"Attribute ""SAN00002609""","Attribute ""NOT PROVIDED""",,,,,,,,,"Attribute ""N""",,"Attribute ""mBalAcu1""",,,,
375,GCA_950005115.1,,,,no,no,,,,,,,,,,,,"Attribute ""ERC000053""",,,,,,,"Attribute ""Sanger Institute""","Attribute ""NOT PROVIDED""",,,"center name	Attribute ""Tree of Life Programme""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Id	Attribute ""19650""",,,,,,,,,,,,,,,,,,,,,,,,,,"by	Attribute ""prof. dr. Franc Janzekovic | prof. dr. Boris Krystufek""",,,"institution	Attribute ""University of Maribor, Faculty of Natural Science and Mathemathics I Slovenian Musemum of Natural History | University of Maribor, Faculty of Natural Science and Mathemathics I Slovenian Musemum of Natural History""","date	Attribute ""2021-07-15""",,,"name	Attribute ""European snow vole""",,,,,,,,,,,,,,,,,,,"location (country and/or sea)	Attribute ""Slovenia"", location (latitude)	Attribute ""46.4722"", location (longitude)	Attribute ""13.7266"", location (region and locality)	Attribute ""Vrsic""",,"Attribute ""Rocky mountain areas above tree line""",,"by	Attribute ""prof. dr. Franc Janzekovic | prof. dr. Boris Krystufek""",,"Attribute ""University of Maribor, Faculty of Natural Science and Mathemathics I Slovenian Musemum of Natural History | University of Maribor, Faculty of Natural Science and Mathemathics I Slovenian Musemum of Natural History""",,,,,,,,,,"Attribute ""adult""",,,,"part	Attribute ""WHOLE ORGANISM""",,,,,,"name	Attribute ""ERGA""",,,,,"name	Attribute ""19650""",,"Attribute ""Chionomys nivalis""","Attribute ""male""","id	Attribute ""ERGA FJ SI 01"", voucher	Attribute ""NOT COLLECTED""",,,,,,,,,,,"Attribute ""N""",,"Attribute ""mChiNiv1""",,,,
376,GCA_950295305.1,no,no,Geographic,NA,no,,,,,,,,,,,,"Attribute ""ERC000053""","Attribute ""2022-03-02T11:00:52Z""","Attribute ""2022-03-02T11:00:52Z""","Id	Attribute ""SAMEA13207416""",,,,"Attribute ""Sanger Institute""","Attribute ""NOT PROVIDED""",,,"center name	Attribute ""EarlhamInstitute"", first public	Attribute ""2022-03-02T11:00:52Z"", last update	Attribute ""2022-03-02T11:00:52Z"", status	Attribute ""public""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Id	Attribute ""621f4e63f4adf2d668f245fe""",,,,,,,,,,,,"center	Attribute ""NOT PROVIDED""",,,,,,,,,,,"name	Attribute ""COPO""",,,"by	Attribute ""SIMON ALLEN""",,,"institution	Attribute ""GOWER BIRD HOSPITAL""","date	Attribute ""2021-11-04""",,,"name	Attribute ""western European hedgehog""",,,,,,,,,,,,,,,,,,,"location (country and/or sea)	Attribute ""United Kingdom"", location (latitude)	Attribute ""51.580742"", location (longitude)	Attribute ""-4.0991872"", location (region and locality)	Attribute ""South Wales | Swansea | Parkmill | Gower Bird Hospital""",,,,"by	Attribute ""Simon Allen""",,"Attribute ""Gower Bird Hospital""",,,,,,,,,,"Attribute ""juvenile""",,,,"part	Attribute ""WHOLE ORGANISM""",,,,,,"name	Attribute ""DTOL""",,,,,"name	Attribute ""621f4e63f4adf2d668f245fe""",,"Attribute ""Erinaceus europaeus""","Attribute ""female""","id	Attribute ""SAN00002332"", voucher	Attribute ""NOT PROVIDED""",,,,,,,,,,,,,"Attribute ""mEriEur2""",,,,
377,GCA_951214905.1,,,,no,no,,,,,,,,,,,"first public	Attribute ""2021-07-01"", last update	Attribute ""2021-07-01""","Attribute ""ERC000053""",,,"Id	Attribute ""SAMEA8748807""",,,,"Attribute ""Sanger Institute""","Attribute ""NOT PROVIDED""",,,"center alias	Attribute ""Tree of Life Programme"", center name	Attribute ""tree of life programme"", first public	Attribute ""2021-07-01T11:50:04Z"", last update	Attribute ""2021-07-01T11:50:04Z"", status	Attribute ""public""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Id	Attribute ""441""",,,,,,,,,,,,,,,,,,,,,,,,,,"by	Attribute ""ILIANA BISTA""",,,"institution	Attribute ""UNIVERSITY OF CAMBRIDGE""","date	Attribute ""2019-12-05""",,,,,,,,,,,,,,,,,,,,,,"location (country and/or sea)	Attribute ""Southern Ocean"", location (latitude)	Attribute ""-53.36448"", location (longitude)	Attribute ""-38.0583"", location (region and locality)	Attribute ""SOUTHERN OCEAN""",,"Attribute ""MARINE""",,"by	Attribute ""MARTIN COLLINS""",,"Attribute ""BRITISH ANTARCTIC SURVEY""",,,,,,,,,,"Attribute ""adult""",,,,"part	Attribute ""WHOLE ORGANISM""",,,,,,"name	Attribute ""ToL""",,,,,"name	Attribute ""441""",,,"Attribute ""female""","id	Attribute ""SAN1100012"", voucher	Attribute ""NOT COLLECTED""",,,,,,,,,,,"Attribute ""N""",,"Attribute ""fEleAnt2""",,,,
378,GCA_951216825.1,,,,no,no,,,,,,,,,,,"first public	Attribute ""2021-07-01"", last update	Attribute ""2021-07-01""","Attribute ""ERC000053""",,,"Id	Attribute ""SAMEA8748807""",,,,"Attribute ""Sanger Institute""","Attribute ""NOT PROVIDED""",,,"center alias	Attribute ""Tree of Life Programme"", center name	Attribute ""tree of life programme"", first public	Attribute ""2021-07-01T11:50:04Z"", last update	Attribute ""2021-07-01T11:50:04Z"", status	Attribute ""public""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Id	Attribute ""441""",,,,,,,,,,,,,,,,,,,,,,,,,,"by	Attribute ""ILIANA BISTA""",,,"institution	Attribute ""UNIVERSITY OF CAMBRIDGE""","date	Attribute ""2019-12-05""",,,,,,,,,,,,,,,,,,,,,,"location (country and/or sea)	Attribute ""Southern Ocean"", location (latitude)	Attribute ""-53.36448"", location (longitude)	Attribute ""-38.0583"", location (region and locality)	Attribute ""SOUTHERN OCEAN""",,"Attribute ""MARINE""",,"by	Attribute ""MARTIN COLLINS""",,"Attribute ""BRITISH ANTARCTIC SURVEY""",,,,,,,,,,"Attribute ""adult""",,,,"part	Attribute ""WHOLE ORGANISM""",,,,,,"name	Attribute ""ToL""",,,,,"name	Attribute ""441""",,,"Attribute ""female""","id	Attribute ""SAN1100012"", voucher	Attribute ""NOT COLLECTED""",,,,,,,,,,,"Attribute ""N""",,"Attribute ""fEleAnt2""",,,,
379,GCA_951394355.1,,,,no,no,,,,,,,,,,,,"Attribute ""ERC000053""","Attribute ""2021-08-11T17:58:53Z""","Attribute ""2021-08-11T17:58:53Z""","Id	Attribute ""SAMEA9654429""",,,,"Attribute ""Sanger Institute""","Attribute ""NOT PROVIDED""",,,"center name	Attribute ""EarlhamInstitute"", first public	Attribute ""2021-08-11T17:58:53Z"", last update	Attribute ""2021-08-11T17:58:53Z"", status	Attribute ""public""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Id	Attribute ""611401ed5afb27eb1113b83c""",,,,,,,,,,,,,,,,,,,,,,,"name	Attribute ""COPO""",,,"by	Attribute ""Jennifer Kaden""",,,"institution	Attribute ""RZSS""","date	Attribute ""2021-06-10""",,,"name	Attribute ""western capercaillie""",,,,,,,,,,,,,,,,,,,"location (country and/or sea)	Attribute ""United Kingdom"", location (latitude)	Attribute ""not collected"", location (longitude)	Attribute ""not collected"", location (region and locality)	Attribute ""SCOTLAND | Cairngorms""",,"Attribute ""Caledonian forest""",,"by	Attribute ""Collector""",,"Attribute ""RZSS""",,,,,,,,,,"Attribute ""adult""",,,,"part	Attribute ""WHOLE ORGANISM""",,,,,,"name	Attribute ""DTOL""",,,,,"name	Attribute ""611401ed5afb27eb1113b83c""",,"Attribute ""Tetrao urogallus""","Attribute ""male""","id	Attribute ""SAN0001380"", voucher	Attribute ""NOT COLLECTED""",,,,,,,,,,,,,"Attribute ""bTetUro1""",,,,
380,GCA_951394365.1,,,,no,no,,,,,,,,,,,,"Attribute ""ERC000053""","Attribute ""2021-08-11T17:58:53Z""","Attribute ""2021-08-11T17:58:53Z""","Id	Attribute ""SAMEA9654429""",,,,"Attribute ""Sanger Institute""","Attribute ""NOT PROVIDED""",,,"center name	Attribute ""EarlhamInstitute"", first public	Attribute ""2021-08-11T17:58:53Z"", last update	Attribute ""2021-08-11T17:58:53Z"", status	Attribute ""public""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Id	Attribute ""611401ed5afb27eb1113b83c""",,,,,,,,,,,,,,,,,,,,,,,"name	Attribute ""COPO""",,,"by	Attribute ""Jennifer Kaden""",,,"institution	Attribute ""RZSS""","date	Attribute ""2021-06-10""",,,"name	Attribute ""western capercaillie""",,,,,,,,,,,,,,,,,,,"location (country and/or sea)	Attribute ""United Kingdom"", location (latitude)	Attribute ""not collected"", location (longitude)	Attribute ""not collected"", location (region and locality)	Attribute ""SCOTLAND | Cairngorms""",,"Attribute ""Caledonian forest""",,"by	Attribute ""Collector""",,"Attribute ""RZSS""",,,,,,,,,,"Attribute ""adult""",,,,"part	Attribute ""WHOLE ORGANISM""",,,,,,"name	Attribute ""DTOL""",,,,,"name	Attribute ""611401ed5afb27eb1113b83c""",,"Attribute ""Tetrao urogallus""","Attribute ""male""","id	Attribute ""SAN0001380"", voucher	Attribute ""NOT COLLECTED""",,,,,,,,,,,,,"Attribute ""bTetUro1""",,,,
381,GCA_951394435.1,,,,no,no,,,,,,,,,,,,"Attribute ""ERC000053""","Attribute ""2022-09-22T12:12:57Z""","Attribute ""2023-06-27T10:40:14Z""","Id	Attribute ""SAMEA111380539""",,,,"Attribute ""Sanger Institute""","Attribute ""NOT PROVIDED""",,,"center name	Attribute ""Tree of Life Programme"", first public	Attribute ""2022-09-22T12:12:57Z"", last update	Attribute ""2023-06-27T10:40:14Z"", status	Attribute ""public""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Id	Attribute ""25508""",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Nick Davison""","institution	Attribute ""Scottish Marine Animal Stranding Scheme University of Glasgow""","date	Attribute ""2022-01-28""",,,"name	Attribute ""striped dolphin""",,,,,,,,,,,,,,,,,,,"location (country and/or sea)	Attribute ""United Kingdom"", location (latitude)	Attribute ""57.93694444"", location (longitude)	Attribute ""-5.18638889"", location (region and locality)	Attribute ""Scotland | Highland | Ardmair""",,"Attribute ""Beach""",,,"Attribute ""Nick Davison""","Attribute ""Scottish Marine Animal Stranding Scheme University of Glasgow""",,,,,,,,,,"Attribute ""juvenile""",,,,"part	Attribute ""WHOLE ORGANISM""",,,,,,"name	Attribute ""DTOL""",,,,,"name	Attribute ""25508""",,"Attribute ""Stenella coeruleoalba""","Attribute ""male""",,"Attribute ""SAN00002606""","Attribute ""NOT PROVIDED""",,,,,,,,,"Attribute ""N""",,"Attribute ""mSteCoe1""",,,,
382,GCA_951394445.1,,,,no,no,,,,,,,,,,,,"Attribute ""ERC000053""","Attribute ""2022-09-22T12:12:57Z""","Attribute ""2023-06-27T10:40:14Z""","Id	Attribute ""SAMEA111380539""",,,,"Attribute ""Sanger Institute""","Attribute ""NOT PROVIDED""",,,"center name	Attribute ""Tree of Life Programme"", first public	Attribute ""2022-09-22T12:12:57Z"", last update	Attribute ""2023-06-27T10:40:14Z"", status	Attribute ""public""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Id	Attribute ""25508""",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Nick Davison""","institution	Attribute ""Scottish Marine Animal Stranding Scheme University of Glasgow""","date	Attribute ""2022-01-28""",,,"name	Attribute ""striped dolphin""",,,,,,,,,,,,,,,,,,,"location (country and/or sea)	Attribute ""United Kingdom"", location (latitude)	Attribute ""57.93694444"", location (longitude)	Attribute ""-5.18638889"", location (region and locality)	Attribute ""Scotland | Highland | Ardmair""",,"Attribute ""Beach""",,,"Attribute ""Nick Davison""","Attribute ""Scottish Marine Animal Stranding Scheme University of Glasgow""",,,,,,,,,,"Attribute ""juvenile""",,,,"part	Attribute ""WHOLE ORGANISM""",,,,,,"name	Attribute ""DTOL""",,,,,"name	Attribute ""25508""",,"Attribute ""Stenella coeruleoalba""","Attribute ""male""",,"Attribute ""SAN00002606""","Attribute ""NOT PROVIDED""",,,,,,,,,"Attribute ""N""",,"Attribute ""mSteCoe1""",,,,
383,GCA_951640355.1,,,,no,no,,,,,,,,,,,,"Attribute ""ERC000053""",,,,,,,"Attribute ""Sanger Institute""","Attribute ""NOT PROVIDED""",,,"center name	Attribute ""Tree of Life Programme""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Id	Attribute ""21260""",,,,,,,,,,,,,,,,,,,,,,,,,,"by	Attribute ""JEROEN VAN DER KOOIJ""",,,,"date	Attribute ""2021-06-16""",,,"name	Attribute ""northern bat""",,,,,,,,,,,"Attribute ""180""",,,,,,,,"location (country and/or sea)	Attribute ""Norway"", location (latitude)	Attribute ""60.020102"", location (longitude)	Attribute ""10.900629"", location (region and locality)	Attribute ""AKERSHUS | NITTEDAL | RUDSTEIN | RUDSTEINVEIEN 67""",,"Attribute ""Maternity colony""",,"by	Attribute ""Jeroen van der Kooij""",,"Attribute ""Nature education, research and consultancy van der Kooij""",,,,,,,,,,"Attribute ""not collected""",,,,"part	Attribute ""WHOLE ORGANISM""",,,,,,"name	Attribute ""DTOL""",,,,"Attribute ""Pup was a boy (named Karl), mother is named Nikki. Nikki is six years old. This is her 5th pup.""","name	Attribute ""21260""",,"Attribute ""Eptesicus nilssonii""","Attribute ""male""","id	Attribute ""SAN00002399"", voucher	Attribute ""NOT COLLECTED""",,,,,,,,,,,"Attribute ""N""",,"Attribute ""mEptNil1""",,,,
384,GCA_951640545.1,,,,no,no,,,,,,,,,,,,"Attribute ""ERC000053""",,,,,,,"Attribute ""Sanger Institute""","Attribute ""NOT PROVIDED""",,,"center name	Attribute ""Tree of Life Programme""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Id	Attribute ""21260""",,,,,,,,,,,,,,,,,,,,,,,,,,"by	Attribute ""JEROEN VAN DER KOOIJ""",,,,"date	Attribute ""2021-06-16""",,,"name	Attribute ""northern bat""",,,,,,,,,,,"Attribute ""180""",,,,,,,,"location (country and/or sea)	Attribute ""Norway"", location (latitude)	Attribute ""60.020102"", location (longitude)	Attribute ""10.900629"", location (region and locality)	Attribute ""AKERSHUS | NITTEDAL | RUDSTEIN | RUDSTEINVEIEN 67""",,"Attribute ""Maternity colony""",,"by	Attribute ""Jeroen van der Kooij""",,"Attribute ""Nature education, research and consultancy van der Kooij""",,,,,,,,,,"Attribute ""not collected""",,,,"part	Attribute ""WHOLE ORGANISM""",,,,,,"name	Attribute ""DTOL""",,,,"Attribute ""Pup was a boy (named Karl), mother is named Nikki. Nikki is six years old. This is her 5th pup.""","name	Attribute ""21260""",,"Attribute ""Eptesicus nilssonii""","Attribute ""male""","id	Attribute ""SAN00002399"", voucher	Attribute ""NOT COLLECTED""",,,,,,,,,,,"Attribute ""N""",,"Attribute ""mEptNil1""",,,,
