"","Generations_end","IUCN","Ne_median","Ne_min","Ne_max","Ne_lq","Ne_uq"
"66",1114.36,"LC",2084.4406924512,2084.4406924512,2084.4406924512,2084.4406924512,2084.4406924512
"67",1126.616,"LC",1994.9129719216,1994.9129719216,1994.9129719216,1994.9129719216,1994.9129719216
"68",1128.752,"VU",8294.07471302501,8294.07471302501,8294.07471302501,8294.07471302501,8294.07471302501
"69",1136.384,"NT",10036.7092641336,10036.7092641336,10036.7092641336,10036.7092641336,10036.7092641336
"70",1154.232,"EN",23465.5027777289,23465.5027777289,23465.5027777289,23465.5027777289,23465.5027777289
"71",1155.472,"CR",3406.19757649043,3406.19757649043,3406.19757649043,3406.19757649043,3406.19757649043
"72",1164.4,"CR",9591.01513701964,9591.01513701964,9591.01513701964,9591.01513701964,9591.01513701964
"73",1165.352,"LC",6405.30871986703,6405.30871986703,6405.30871986703,6405.30871986703,6405.30871986703
"74",1171.288,"LC",14930.3870702848,14930.3870702848,14930.3870702848,14930.3870702848,14930.3870702848
"75",1185.976,"VU",15218.3259080585,15218.3259080585,15218.3259080585,15218.3259080585,15218.3259080585
"76",1190.344,"NT",38484.1108727234,38484.1108727234,38484.1108727234,38484.1108727234,38484.1108727234
"77",1200.704,"LC",2241.98909272306,2241.98909272306,2241.98909272306,2241.98909272306,2241.98909272306
"78",1210.864,"LC",35739.1754972213,35739.1754972213,35739.1754972213,35739.1754972213,35739.1754972213
"79",1233.744,"LC",20124.064859861,20124.064859861,20124.064859861,20124.064859861,20124.064859861
"80",1235.752,"LC",3760.52948255114,3760.52948255114,3760.52948255114,3760.52948255114,3760.52948255114
"81",1237.312,"NT",2777.50774230283,2777.50774230283,2777.50774230283,2777.50774230283,2777.50774230283
"82",1238.304,"EN",8753.99948351403,8753.99948351403,8753.99948351403,8753.99948351403,8753.99948351403
"83",1243.624,"VU",4740.79130918137,4740.79130918137,4740.79130918137,4740.79130918137,4740.79130918137
"84",1246.584,"NT",17424.4866310626,17424.4866310626,17424.4866310626,17424.4866310626,17424.4866310626
"85",1246.688,"EN",4617.55131253896,4617.55131253896,4617.55131253896,4617.55131253896,4617.55131253896
"86",1253.424,"LC",2581.57786038827,2581.57786038827,2581.57786038827,2581.57786038827,2581.57786038827
"87",1260.352,"CR",4586.98237337348,4586.98237337348,4586.98237337348,4586.98237337348,4586.98237337348
"88",1301.16,"EN",59174.1361685634,59174.1361685634,59174.1361685634,59174.1361685634,59174.1361685634
"89",1301.832,"LC",8937.08959208889,8937.08959208889,8937.08959208889,8937.08959208889,8937.08959208889
"90",1302.336,"LC",1618.13606906205,1618.13606906205,1618.13606906205,1618.13606906205,1618.13606906205
"91",1310.72,"LC",17657.0038712981,17657.0038712981,17657.0038712981,17657.0038712981,17657.0038712981
"92",1323.92,"EN",24126.4709607764,24126.4709607764,24126.4709607764,24126.4709607764,24126.4709607764
"93",1325.696,"LC",39047247.1690746,39047247.1690746,39047247.1690746,39047247.1690746,39047247.1690746
"94",1337.12,"LC",20623.5531288508,20623.5531288508,20623.5531288508,20623.5531288508,20623.5531288508
"95",1349.232,"LC",95476.5593112321,95476.5593112321,95476.5593112321,95476.5593112321,95476.5593112321
"96",1360.52,"LC",2479.57450501494,2479.57450501494,2479.57450501494,2479.57450501494,2479.57450501494
"97",1360.872,"VU",4530.63217043332,4530.63217043332,4530.63217043332,4530.63217043332,4530.63217043332
"98",1368.448,"LC",3171.02947471897,3171.02947471897,3171.02947471897,3171.02947471897,3171.02947471897
"99",1385.064,"LC",904971.233226924,904971.233226924,904971.233226924,904971.233226924,904971.233226924
"100",1388.944,"LC",13426.0176082221,13426.0176082221,13426.0176082221,13426.0176082221,13426.0176082221
"101",1394.736,"LC",37922.95950776,37922.95950776,37922.95950776,37922.95950776,37922.95950776
"102",1414.84,"LC",19772.6149283243,19772.6149283243,19772.6149283243,19772.6149283243,19772.6149283243
"103",1422.136,"LC",2417.02065948409,2417.02065948409,2417.02065948409,2417.02065948409,2417.02065948409
"104",1434.888,"LC",4031.8231803626,4031.8231803626,4031.8231803626,4031.8231803626,4031.8231803626
